Distance,Intensity,Derivative
0,52811.87977911194,41.12240603065584
1,52853.0021851426,60.6137417051832
2,52933.10726252231,97.52310758895328
3,53048.048400320506,129.42510471846617
4,53191.95747195924,154.8063481923964
5,53357.6610967053,172.6299667808198
6,53537.21740552088,182.43355118653562
7,53722.52819907837,184.37501213765063
8,53905.96742979618,179.21733200305607
9,54080.96286308448,168.23200446883493
10,54242.43143873385,153.03312308329623
11,54387.029109251074,135.38127976091346
12,54513.19399825568,116.95878090335827
13,54620.94667105779,99.17495689056159
14,54711.5439120368,83.04247727466282
15,54787.03162560712,69.12290476604903
16,54849.7897215689,57.57166376538589
17,54902.17495313789,48.2369577356003
18,54946.2636370401,40.7826212390064
19,54983.7401956159,34.82686607779033
20,55015.91736919568,30.037917790716165
21,55043.81603119733,26.183552074864565
22,55068.28447334541,23.132812234318408
23,55090.08165566597,20.809972796712827
24,55109.90441893884,19.13773600069908
25,55128.35712766737,17.99398097832818
26,55145.89238089549,17.192066927858832
27,55162.741261523086,16.501161502292234
28,55178.89470390008,15.681836118877982
29,55194.10493376084,14.525339058585814
30,55207.94538201725,12.905879001784342
31,55219.91669176441,10.800967047900485
32,55229.54731611305,8.292900306598312
33,55236.50249237761,5.546059048050665
34,55240.63943420915,2.755135869127116
35,55242.01276411586,0.10960074651666218
36,55240.858635702185,-2.2405739393798285
37,55237.5316162371,-4.2143566646118416
38,55232.42992237296,-5.804948976427113
39,55225.92171828425,-7.0653349426647765
40,55218.29925248763,-8.087437070757005
41,55209.74684414273,-8.978324199670169
42,55200.34260408829,-9.826360567541997
43,55190.09412300765,-10.67111271070462
44,55179.00037866688,-11.495177404016431
45,55167.10376819962,-12.219283105700015
46,55154.56181245548,-12.710176101903926
47,55141.68341599581,-12.806885375073762
48,55128.948041705335,-12.345163231188053
49,55116.99308953343,-11.18870948370386
50,55106.57062273793,-9.26298548950217
51,55098.46711855443,-6.581871032627532
52,55093.40688067267,-3.257027351646684
53,55091.953063851135,0.5074233709747205
54,55094.42172741462,4.436997054024687
55,55100.827057959184,8.218902953776706
56,55110.859533322175,11.551138476428605
57,55123.92933491204,14.195098903041071
58,55139.24973112826,16.008100856040983
59,55155.94553662412,16.9614551840059
60,55173.17264149627,17.13643276043149
61,55190.21840214499,16.702185219801322
62,55206.57701193587,15.8758629833319
63,55221.97012811165,14.876928816578584
64,55236.33086956903,13.894268489770184
65,55249.75866509119,13.063658670835139
66,55262.4581869107,12.445958499476546
67,55274.650582090144,12.034375969051325
68,55286.5269388488,11.76332560080482
69,55298.17723329175,11.511557533980522
70,55309.55005391676,11.12972851804443
71,55320.43669032784,10.454211399603082
72,55330.45847671597,9.329396532506507
73,55339.095483392855,7.6456282179715345
74,55345.74973315191,5.363905079826509
75,55349.82329355251,2.5421523539080226
76,55350.83403785973,-0.6521168663093704
77,55348.51905981989,-3.9595526221564796
78,55342.914932615415,-7.064147159799177
79,55334.39076550029,-9.653594172603334
80,55323.60774427021,-11.486653140946146
81,55311.4174592184,-12.445437621361634
82,55298.716869027485,-12.570734825305408
83,55286.27598956779,-12.060004128572473
84,55274.59686077034,-11.224404766944645
85,55263.8271800339,-10.40894410675537
86,55253.77897255683,-9.911359374586027
87,55244.00446128473,-9.910291046933708
88,55233.95839046296,-10.416141364454234
89,55223.17217855582,-11.278957575577806
90,55211.400475311806,-12.235263261780347
91,55198.70165203226,-12.982625102009479
92,55185.43522510779,-13.264607194327255
93,55172.1724376436,-12.939429009584273
94,55159.55636708862,-12.01399346728067
95,55148.14445070904,-10.635787939165311
96,55138.28479121029,-9.037052097901324
97,55130.07034651324,-7.46977262614746
98,55123.34524595799,-6.145626954163163
99,55117.77909260491,-5.177755775985133
100,55112.98973440602,-4.560676854594931
101,55108.65773889572,-4.193833526911476
102,55104.6020673522,-3.924971979806287
103,55100.80779493611,-3.604577821024577
104,55097.39291171015,-3.1382231419338495
105,55094.53134865224,-2.5220707793814654
106,55092.34877015139,-1.8421983494408778
107,55090.84695195336,-1.2450478287391888
108,55089.85867449391,-0.904590207948786
109,55089.03777153746,-0.9609414064034354
110,55087.9367916811,-1.4679116625557072
111,55086.10194821235,-2.372241754696006
112,55083.19230817171,-3.499305773864762
113,55079.10333666462,-4.579066910471738
114,55074.03417435077,-5.292690935846622
115,55068.51795479293,-5.32329823316104
116,55063.387577884445,-4.408719507715432
117,55059.7005157775,-2.3926146828634955
118,55058.60234851872,0.7413059719074226
119,55061.18312772131,4.866884197737818
120,55068.33611691419,9.723659897099424
121,55080.63044751551,14.943962982179073
122,55098.22404287855,20.095514121338056
123,55120.82147575819,24.729440402046748
124,55147.682923682645,28.427725659166754
125,55177.67692707652,30.84873048247755
126,55209.3803846476,31.761646458384348
127,55241.20021999329,31.07155052339658
128,55271.52348569439,28.831320759833034
129,55298.86286151296,25.23814384729849
130,55321.99977338899,20.610219709054945
131,55340.083300931066,15.353227820905886
132,55352.7062290308,9.916150188568281
133,55359.9156013082,4.736878011270164
134,55362.17998505334,0.19252441121716402
135,55360.30065013064,-3.4468571467477886
136,55355.28627075985,-6.0501615842295
137,55348.20032696218,-7.632579259327031
138,55340.02111224119,-8.337866611116624
139,55331.524593739945,-8.398529934453109
140,55323.22405237229,-8.085225087535946
141,55315.35414356487,-7.654871301761887
142,55307.91430976876,-7.298564040440397
143,55300.75701548399,-7.119885773106944
144,55293.67453822255,-7.135820983719896
145,55286.48537351655,-7.29466210269311
146,55279.08521401716,-7.510549067908869
147,55271.464275380735,-7.706959111143078
148,55263.67129579488,-7.842357874371373
149,55255.77955963199,-7.916483992019494
150,55247.83832781084,-7.966722657780338
151,55239.84611431643,-8.04047481640373
152,55231.75737817803,-8.16322558178581
153,55223.51966315286,-8.312960503033537
154,55215.13145717196,-8.408730598926923
155,55206.702201955006,-8.324174148579914
156,55198.4831088748,-7.916311053435493
157,55190.869579848135,-7.067628916378453
158,55184.34785104205,-5.719189341391029
159,55179.43120116535,-3.894538057342288
160,55176.55877492736,-1.712359729117452
161,55176.00648170712,0.6335393172084878
162,55177.82585356178,2.9053742853575386
163,55181.81723027783,4.866175305985962
164,55187.55820417375,6.3189527393333265
165,55194.4551357565,7.143724342833593
166,55201.84565285942,7.315127273566759
167,55209.08539030363,6.9097050912205304
168,55215.66506304186,6.090023841228685
169,55221.26543798609,5.067955203277961
170,55225.800973448415,4.072836218856537
171,55229.4111104238,3.316307250952377
172,55232.43358795032,2.962429003131547
173,55235.33596843007,3.101949549280107
174,55238.63748704888,3.7443573925702367
175,55242.82468321521,4.81469528460002
176,55248.26687761808,6.164683037262876
177,55255.15404928973,7.592278390933643
178,55263.45143439995,8.861753187338763
179,55272.87755566441,9.739001275371265
180,55282.92943695069,10.028234943878488
181,55292.93402555217,9.601129265101918
182,55302.13169548089,8.426721640676988
183,55309.78746883352,6.576973745610303
184,55315.285642972114,4.215239312314225
185,55318.21794745815,1.5744522448367206
186,55318.43454746179,-1.09592523336687
187,55316.026096991416,-3.5761529157571204
188,55311.28224163027,-5.694943776743457
189,55304.63620943793,-7.352278140326234
190,55296.57768534962,-8.518538198353781
191,55287.59913304122,-9.205580104313412
192,55278.166525140994,-9.444076183870493
193,55268.71098067348,-9.262445394320821
194,55259.64163435235,-8.683278119278839
195,55251.34442443492,-7.728243184952589
196,55244.18514798245,-6.438894627757691
197,55238.46663517941,-4.891360817375244
198,55234.4024263477,-3.203301110170287
199,55232.06003295907,-1.5299634044749837
200,55231.34249953875,-0.04750062773746322
201,55231.96503170359,1.0676802983471134
202,55233.47786013544,1.678591722939018
203,55235.32221514947,1.7131961149862036
204,55236.90425236541,1.1819100337015698
205,55237.68603521687,0.189653710967832
206,55237.28355978735,-1.0839838576357579
207,55235.5180675016,-2.4192348372198467
208,55232.44509011291,-3.601166543940053
209,55228.31573441372,-4.451717851654394
210,55223.5416544096,-4.869117330017616
211,55218.57749975369,-4.8523481882984925
212,55213.836958033,-4.476198358595866
213,55209.625103036495,-3.8722943498942186
214,55206.092369333215,-3.1832638696832873
215,55203.25857529713,-2.5175592220366525
216,55201.05725088914,-1.921341067794856
217,55199.41589316154,-1.3762473672177293
218,55198.30475615471,-0.8225158284076315
219,55197.77086150472,-0.1881408022272808
220,55197.92847455025,0.5689272538656951
221,55198.908716012455,1.4354099505289923
222,55200.79929445131,2.3381588154952624
223,55203.585033643445,3.154183004025981
224,55207.10766045936,3.743083957087947
225,55211.07120155762,3.981800180608843
226,55215.07126082058,3.7839813445243635
227,55218.63916424667,3.1294326170245768
228,55221.33012605463,2.0657736811845098
229,55222.77071160904,0.6891219605386141
230,55222.708369975706,-0.8589682461060875
231,55221.05277511683,-2.4104491875623353
232,55217.88747160058,-3.799178373079485
233,55213.45441837067,-4.879611700984242
234,55208.12824819861,-5.547720444712468
235,55202.35897748124,-5.756844137009466
236,55196.614559924594,-5.526190328058874
237,55191.306596825125,-4.930181517749588
238,55186.754196889095,-4.0919552408777236
239,55183.12268634337,-3.156520167245617
240,55180.4411565546,-2.257125066986191
241,55178.6084362094,-1.4803777792949404
242,55177.48040099601,-0.8541696008142026
243,55176.90009700777,-0.36056684434151975
244,55176.75926730733,0.06657453987645567
245,55177.03324608752,0.510488779968
246,55177.78024486727,1.043506001275091
247,55179.12025809007,1.7074018542880367
248,55181.19504857584,2.500420822536398
249,55184.121099735145,3.380146863797563
250,55187.95534230344,4.26395733012032
251,55192.649014395385,5.048574321208434
252,55198.052490945855,5.629512821134995
253,55203.908040037655,5.905966596576036
254,55209.86442413901,5.8083775804552715
255,55215.524795198566,5.3038769680242694
256,55220.472178075055,4.393095885287039
257,55224.31098696914,3.114637882783427
258,55226.70145384062,1.5406617369662854
259,55227.39231044307,-0.24468612652708543
260,55226.21208158757,-2.157943737853202
261,55223.076422967366,-4.117900311895937
262,55217.976280963776,-6.057850236607919
263,55210.96072249415,-7.917777211670909
264,55202.140726540434,-9.630986407511955
265,55191.698749679126,-11.112717672229337
266,55179.915291195975,-12.251890989991807
267,55167.19496769914,-12.913221858267207
268,55154.08884747944,-12.954571278201911
269,55141.28582514274,-12.248440394174395
270,55129.59196669109,-10.70899816853489
271,55119.86782880567,-8.324177365935611
272,55112.94361195922,-5.171783703193796
273,55109.52426139928,-1.4278916675466462
274,55110.08782862413,2.6364235101900704
275,55114.79710841966,6.6786094546441745
276,55123.445047533416,10.320577456077444
277,55135.43826333182,13.196466093217168
278,55149.83797971985,15.004271784542652
279,55165.4468069009,15.559871605288208
280,55180.95772293043,14.829380972645595
281,55195.10556884619,12.942822183005774
282,55206.84336729644,10.174602771770878
283,55215.454774389735,6.9055265544993745
284,55220.65442040544,3.560665266788419
285,55222.57610492331,0.5341175176399702
286,55221.72265544072,-1.8612636285397457
