Distance,Intensity,Derivative
0,48673.89581072843,29.12676602605643
1,48703.02257675448,42.838169150702015
2,48759.57214902983,68.62966608301213
3,48840.28190892051,90.51790517673362
4,48940.6079593833,107.40735061372834
5,49055.096610147964,118.61727204700219
6,49177.8425034773,123.92919494744638
7,49302.95500004286,123.57947126905128
8,49425.001446015405,118.21560208678056
9,49539.38620421642,108.8101110240932
10,49642.62166806359,96.53974711486444
11,49732.46569844615,82.66090399540553
12,49807.9434760544,68.38312662317912
13,49869.231951692505,54.75860440082397
14,49917.46068485605,42.612444947779295
15,49954.456841588064,32.48613363905315
16,49982.43295213416,24.63768455048921
17,50003.73221068904,19.063645766593254
18,50020.56024366734,15.544949135681236
19,50034.822108960405,13.717678940451151
20,50047.995601548246,13.12989169829234
21,50061.08189235699,13.313011910529895
22,50074.621625369306,13.84165574076178
23,50088.76520383851,14.370463235438365
24,50103.36255184018,14.653050662658643
25,50118.07130516383,14.563433459959924
26,50132.4894187601,14.079272947521531
27,50146.22985105887,13.263308957575646
28,50159.01603667525,12.232576428330503
29,50170.695003915534,11.123223112128471
30,50181.26248289951,10.066431617156923
31,50190.82786714985,9.145450192540011
32,50199.55338328459,8.386405883196858
33,50207.60067891624,7.7540591154102
34,50215.06150151541,7.15831636540679
35,50221.917311647056,6.484406196366763
36,50228.030313908144,5.614767581108026
37,50233.14684680927,4.456602787155134
38,50236.943519482455,2.9679060024718638
39,50239.082658814215,1.1633817443362204
40,50239.27028297113,-0.8885676949248591
41,50237.305523424366,-3.0740803854387195
42,50233.12212220025,-5.2531258893468475
43,50226.79927164567,-7.272940605369513
44,50218.57624098951,-8.980790687779518
45,50208.83769027011,-10.234988073418208
46,50198.106264842674,-10.917291420271795
47,50187.00310742957,-10.945658684875525
48,50176.21494747292,-10.28556226002911
49,50166.43198290951,-8.966508731413342
50,50158.2819300101,-7.08431672419465
51,50152.26334946112,-4.800170446837001
52,50148.68158911642,-2.325876152051933
53,50147.61159715702,0.10854312231822405
54,50148.89867536106,2.286728102906636
55,50152.18505336283,4.038708819742169
56,50156.97609300054,5.266360401368729
57,50162.71777416557,5.944848482198722
58,50168.86578996494,6.109292351124168
59,50174.93635886782,5.832091862492234
60,50180.529973689925,5.190614781000477
61,50185.31758842982,4.2528241970721865
62,50189.03562208407,3.0701806243669125
63,50191.45794967855,1.6823928651538154
64,50192.40040781438,0.14501011898755678
65,50191.74796991653,-1.4529469807202986
66,50189.49451385294,-2.985222064482514
67,50185.77752578756,-4.298153824183828
68,50180.89820620457,-5.241558802117652
69,50175.29440818333,-5.705321397483203
70,50169.4875634096,-5.65386366405437
71,50163.98668085522,-5.13982551355366
72,50159.207912382495,-4.291612060627813
73,50155.40345673396,-3.284108337786165
74,50152.63969570692,-2.288731396813091
75,50150.825993940336,-1.4314786672366608
76,50149.77673837245,-0.7666067703648878
77,50149.292780399606,-0.27750897662190255
78,50149.221720419206,0.09614949953538598
79,50149.48507939868,0.42389924123563105
80,50150.06951890168,0.748305074081145
81,50150.98168954684,1.0644350443981239
82,50152.19838899047,1.3221988512123062
83,50153.626087249264,1.4549433635875175
84,50155.10827571765,1.4129913800497889
85,50156.45207000936,1.195785796000564
86,50157.49984730965,0.8780619077770098
87,50158.20819382492,0.6003273384885688
88,50158.70050198663,0.5324495687309536
89,50159.27309296238,0.8294744071790774
90,50160.359450800985,1.578734222741332
91,50162.43056140786,2.755811832368636
92,50165.87107446572,4.215225693838875
93,50170.86101279554,5.702969436482817
94,50177.27701333869,6.89827162781512
95,50184.65755605117,7.480365084593359
96,50192.237743507874,7.1898491985448345
