Raw_Intensity,Median_Intensity,Median_Gaussian_Intensity
46608.0,46579.2,47060.65879359736
46844.8,46608.0,47087.83331815645
46579.2,46736.0,47140.61062560422
46736.0,46844.8,47215.97243865128
47088.0,47088.0,47309.69168241452
47164.8,47164.8,47416.68050723957
47564.8,47564.8,47531.39949405087
47920.0,47920.0,47648.31338031574
48057.6,48057.6,47762.33920605452
48352.0,48140.8,47869.20582784739
48361.6,48352.0,47965.735372029274
48140.8,48352.0,48049.96917860473
48371.2,48361.6,48121.14413803283
48278.4,48294.4,48179.53677394463
48560.0,48294.4,48226.237213706154
48294.4,48294.4,48262.84469744013
48134.4,48348.8,48291.17921074478
48348.8,48294.4,48313.059163010665
48688.0,48348.8,48330.11245632812
48275.2,48348.8,48343.69227983915
48716.8,48380.8,48354.84948807948
48323.2,48380.8,48364.367939598946
48380.8,48387.2,48372.82496934421
48387.2,48380.8,48380.661330289295
48416.0,48387.2,48388.24579878904
48323.2,48416.0,48395.90766911428
48537.6,48416.0,48403.963454318626
48694.4,48323.2,48412.69626006731
48297.6,48537.6,48422.34602486666
48240.0,48352.0,48433.086758744794
48624.0,48297.6,48444.99397864475
48352.0,48352.0,48458.04324173252
48179.2,48624.0,48472.12694337108
48659.2,48467.2,48487.067043631345
48643.2,48512.0,48502.64670184988
48467.2,48588.8,48518.62634697643
48512.0,48512.0,48534.75074965856
48588.8,48512.0,48550.73438598371
48473.6,48544.0,48566.2407456849
48544.0,48588.8,48580.85152000042
48601.6,48601.6,48594.064191900485
48662.4,48601.6,48605.3066965878
48614.4,48614.4,48613.990110281025
48505.6,48662.4,48619.58505789201
48960.0,48771.2,48621.716475398694
48896.0,48771.2,48620.244881749204
48771.2,48771.2,48615.30964003398
48502.4,48723.2,48607.34251568837
48508.8,48508.8,48597.01801659866
48723.2,48508.8,48585.16220728799
48345.6,48508.8,48572.66729693703
48515.2,48515.2,48560.36889271152
48387.2,48515.2,48548.98841410423
48617.6,48515.2,48539.09869373311
48521.6,48508.8,48531.14193327585
48390.4,48521.6,48525.44414325506
48508.8,48521.6,48522.26875783287
48659.2,48508.8,48521.83383169061
48777.6,48508.8,48524.308835482705
48409.6,48489.6,48529.772645512814
48489.6,48451.2,48538.16686024222
48451.2,48444.8,48549.22559502987
48444.8,48451.2,48562.460129493804
48435.2,48451.2,48577.16361501454
48553.6,48553.6,48592.48122058883
48784.0,48784.0,48607.51480324729
48950.4,48784.0,48621.459056309424
48828.8,48784.0,48633.69935910578
48521.6,48736.0,48643.89701174128
48620.8,48633.6,48651.9861587296
48736.0,48624.0,48658.12725165829
48633.6,48624.0,48662.59982861759
48624.0,48633.6,48665.69674069819
48377.6,48624.0,48667.60548071593
48800.0,48624.0,48668.35822789543
48489.6,48684.8,48667.81955907078
48764.8,48764.8,48665.73594709783
48684.8,48684.8,48661.82076867308
48803.2,48764.8,48655.853766705135
48576.0,48684.8,48647.76352549217
48790.4,48790.4,48637.68059074057
48595.2,48595.2,48625.94260054088
48848.0,48595.2,48613.0570622088
48387.2,48566.4,48599.631535491615
48566.4,48566.4,48586.290453783324
48476.8,48476.8,48573.59488688371
48566.4,48566.4,48561.98808780748
48403.2,48476.8,48551.77892783533
48684.8,48566.4,48543.13706150475
48307.2,48464.0,48536.12962872832
48678.4,48614.4,48530.758614854894
48464.0,48473.6,48527.00230352387
48614.4,48579.2,48524.83255494278
48473.6,48473.6,48524.20735202653
48579.2,48483.2,48525.0544581945
48409.6,48473.6,48527.23386360142
48483.2,48483.2,48530.49091586579
48412.8,48483.2,48534.442393447636
48838.4,48540.8,48538.581076460956
48540.8,48572.8,48542.29298006112
48572.8,48592.0,48544.92810165213
48592.0,48592.0,48545.855880336116
48796.8,48611.2,48544.56804083353
48611.2,48611.2,48540.73016555056
48636.8,48611.2,48534.257185484414
48489.6,48585.6,48525.34085180486
48502.4,48502.4,48514.45996721155
48585.6,48502.4,48502.345996633885
48246.4,48528.0,48489.935442519854
48563.2,48528.0,48478.26999695363
48528.0,48387.2,48468.40087039735
48387.2,48387.2,48461.25134431022
48172.8,48387.2,48457.52512186094
48044.8,48240.0,48457.597439559126
48534.4,48240.0,48461.48987062762
48240.0,48492.8,48468.862967834866
