Raw_Intensity,Median_Intensity,Median_Gaussian_Intensity
42857.6,42857.6,43167.07613570105
42992.0,42880.0,43184.152191228204
42976.0,42976.0,43217.225521765075
42880.0,42992.0,43264.236252615476
43308.8,43132.8,43322.32534024019
43132.8,43308.8,43388.0963617237
43571.2,43571.2,43457.92588313158
43616.0,43616.0,43528.29955381529
43868.8,43868.8,43596.12403110091
43923.2,43923.2,43658.979708162515
43955.2,43923.2,43715.272252246126
43936.0,43923.2,43764.275664749934
43814.4,43932.8,43806.052492112794
43808.0,43894.4,43841.283054618754
43932.8,43814.4,43871.028348366744
43894.4,43824.0,43896.50359822041
43792.0,43894.4,43918.859683094626
43824.0,43894.4,43939.05005036231
44204.8,43948.8,43957.76495167336
43948.8,43993.6,43975.445101763675
44179.2,44121.6,43992.331901204474
43993.6,44044.8,44008.546101981214
44121.6,44044.8,44024.156112600824
44044.8,44044.8,44039.21416640608
44012.8,44044.8,44053.76436996785
44089.6,44012.8,44067.817336336055
43920.0,44012.8,44081.32289704417
43993.6,44089.6,44094.14405404936
44115.2,44115.2,44106.05694892845
44284.8,44182.4,44116.75938908388
44182.4,44182.4,44125.925350047226
44284.8,44201.6,44133.247376546606
43964.8,44182.4,44138.48533675975
44201.6,44166.4,44141.50613661445
44076.8,44160.0,44142.297738685185
44166.4,44160.0,44140.969643124925
44160.0,44160.0,44137.73293102378
44108.8,44160.0,44132.88075683321
44246.4,44137.6,44126.749345671335
44073.6,44137.6,44119.68794611797
44137.6,44137.6,44112.02978529717
44297.6,44073.6,44104.06459597868
44057.6,44057.6,44096.028110834566
43942.4,44057.6,44088.09163441739
44051.2,44057.6,44080.374347432065
44092.8,44086.4,44072.95886396906
44086.4,44089.6,44065.91711425731
44089.6,44089.6,44059.32722609531
44150.4,44086.4,44053.28632967264
43977.6,44048.0,44047.91404553392
43849.6,43977.6,44043.33168408125
44048.0,43977.6,44039.647689099584
43772.8,43971.2,44036.92880239771
44054.4,44048.0,44035.1870538282
43971.2,44054.4,44034.37648989578
44070.4,44054.4,44034.392465435616
44147.2,44000.0,44035.09999789277
44000.0,44070.4,44036.35169083878
43987.2,44009.6,44038.01210652723
44131.2,44009.6,44039.97981323386
44009.6,44048.0,44042.201317969455
44048.0,44073.6,44044.67866453757
44227.2,44048.0,44047.45781849022
44073.6,44073.6,44050.61153679508
43673.6,44073.6,44054.213803291066
44230.4,44012.8,44058.305051226685
43961.6,44012.8,44062.86468658956
44012.8,44022.4,44067.79382412498
44022.4,44022.4,44072.92029963136
44096.0,44096.0,44078.02427191622
44166.4,44112.0,44082.88396616949
44112.0,44166.4,44087.32678181843
44272.0,44166.4,44091.273205390346
44166.4,44112.0,44094.75709370964
43977.6,44166.4,44097.91466553285
43929.6,44019.2,44100.94627423476
44217.6,44019.2,44104.05090113582
44019.2,44067.2,44107.36505181923
44092.8,44092.8,44110.91215678876
44067.2,44089.6,44114.592317827024
44281.6,44092.8,44118.196186464265
44089.6,44192.0,44121.46023789173
44230.4,44192.0,44124.13751752669
44192.0,44176.0,44126.06224107112
44131.2,44176.0,44127.20582282399
44176.0,44137.6,44127.68541066486
44137.6,44131.2,44127.75628643809
44083.2,44089.6,44127.75607055741
44067.2,44089.6,44128.046791754954
44089.6,44089.6,44128.945200439994
44358.4,44089.6,44130.66573690696
44163.2,44089.6,44133.2878134185
43904.0,44150.4,44136.741484862505
44083.2,44150.4,44140.81800807156
44150.4,44150.4,44145.19916190123
44166.4,44156.8,44149.48384779565
44156.8,44156.8,44153.23455914779
44182.4,44166.4,44156.00374045935
44041.6,44182.4,44157.37694103462
44204.8,44182.4,44157.002982131584
44400.0,44204.8,44154.62405850164
44019.2,44204.8,44150.10104365775
44240.0,44214.4,44143.434019368986
44089.6,44112.0,44134.77810857303
44214.4,44214.4,44124.43699809719
44112.0,44112.0,44112.841190565916
44246.4,44112.0,44100.52990371243
43996.8,44057.6,44088.09215934632
44057.6,44038.4,44076.12673322121
44038.4,44032.0,44065.18633373392
