Raw_Intensity,Median_Intensity,Median_Gaussian_Intensity
43686.4,43459.2,43612.659564562426
43462.4,43462.4,43619.61574172072
43459.2,43651.2,43633.21501993576
43728.0,43584.0,43652.84477857233
43651.2,43584.0,43677.612998225195
43584.0,43651.2,43706.38965321345
43500.8,43651.2,43737.865812534146
43808.0,43766.4,43770.63053181684
43766.4,43808.0,43803.271026731716
43964.8,43964.8,43834.47988431055
44208.0,43964.8,43863.1565504458
44054.4,44003.2,43888.49310916501
43897.6,44054.4,43910.038358330625
44003.2,44003.2,43927.692807855725
44230.4,43955.2,43941.68383552793
43772.8,43955.2,43952.48563888128
43955.2,43955.2,43960.74023145881
43632.0,43955.2,43967.134945656275
44025.6,43955.2,43972.32841584866
44035.2,43955.2,43976.8831774958
43955.2,44025.6,43981.21052900105
43804.8,43955.2,43985.57424970669
44025.6,43955.2,43990.10268188968
43817.6,44000.0,43994.80597706759
44000.0,44000.0,43999.623898834136
44035.2,44000.0,44004.447134888804
43920.0,44035.2,44009.15409168136
44099.2,44035.2,44013.63424444667
44067.2,44035.2,44017.79957166544
43833.6,44035.2,44021.597236734066
44035.2,44035.2,44025.00581701197
43916.8,43926.4,44028.04721802325
44211.2,44035.2,44030.77540974563
43926.4,44118.4,44033.2798159338
44147.2,44118.4,44035.682983748426
44118.4,43964.8,44038.11845247223
43964.8,44086.4,44040.71864977488
43862.4,43964.8,44043.586393719495
44086.4,43964.8,44046.77261566729
43852.8,44086.4,44050.25225908382
44323.2,44086.4,44053.9132583856
44086.4,44006.4,44057.56345978669
43798.4,44086.4,44060.9555191502
44006.4,44076.8,44063.816592560746
44121.6,44076.8,44065.897299628385
44076.8,44102.4,44067.01153501662
44128.0,44121.6,44067.064602544764
44102.4,44102.4,44066.056810817085
44185.6,44102.4,44064.0828469886
44086.4,44086.4,44061.29637351175
44003.2,44003.2,44057.88151350752
43929.6,44000.0,44054.01671764468
43993.6,44000.0,44049.86298475451
44000.0,44000.0,44045.5531368721
44211.2,44124.8,44041.21701566225
44195.2,44124.8,44036.996531080404
44124.8,44124.8,44033.05125337722
43827.2,43996.8,44029.552206368375
43942.4,43942.4,44026.67204823593
43996.8,43942.4,44024.533479015176
43884.8,43942.4,44023.181984444236
43942.4,43996.8,44022.566819965636
44051.2,44044.8,44022.549598979844
44044.8,44051.2,44022.92638985582
44144.0,44051.2,44023.50277131195
44121.6,44044.8,44024.1407905608
44022.4,44121.6,44024.80979371841
43820.8,44022.4,44025.60329194252
44185.6,44022.4,44026.718239447044
43964.8,43964.8,44028.39976884393
44080.0,44000.0,44030.86915557208
43904.0,43964.8,44034.24350530743
44000.0,44000.0,44038.48230082909
43942.4,43990.4,44043.36243795247
44214.4,44000.0,44048.50223591354
43990.4,44124.8,44053.40217010735
44131.2,44131.2,44057.54696979781
44124.8,44124.8,44060.47258427709
44131.2,44124.8,44061.85010355759
43856.0,44121.6,44061.524116786124
44121.6,44099.2,44059.52637880231
43996.8,43996.8,44056.049987458435
44099.2,44099.2,44051.39601473775
43955.2,43996.8,44045.920095454385
44108.8,44022.4,44039.97470316448
43977.6,44022.4,44033.86770607222
44022.4,44022.4,44027.848415966575
44022.4,44022.4,44022.10607093636
44057.6,44022.4,44016.789016661045
44108.8,44022.4,44012.010976065154
43964.8,44057.6,44007.869563536195
43907.2,43964.8,44004.43957783684
44092.8,43964.8,44001.76932815823
43817.6,43907.2,43999.86099714757
44051.2,44051.2,43998.66571700159
43817.6,43916.8,43998.08072488568
44124.8,44022.4,43997.963066127166
43916.8,44022.4,43998.158647078715
44022.4,44025.6,43998.52792960217
44025.6,44022.4,43998.968831929786
44364.8,44025.6,43999.43108925086
43904.0,44025.6,43999.91269853461
44028.8,43942.4,44000.4427552632
43942.4,43942.4,44001.04367110837
43840.0,43996.8,44001.72272095304
43996.8,43996.8,44002.43938336875
44028.8,44019.2,44003.10867748098
44115.2,44019.2,44003.61074788084
44019.2,44028.8,44003.815456422366
43987.2,44019.2,44003.611756365084
44083.2,44019.2,44002.93376071436
43852.8,44003.2,44001.78323777275
44025.6,44006.4,44000.23944899144
44003.2,44003.2,43998.455604791794
44006.4,44003.2,43996.6519035781
43936.0,44003.2,43995.09312469202
43859.2,43984.0,43994.070707255654
44051.2,43939.2,43993.86331246089
43984.0,43984.0,43994.72226563733
43939.2,43984.0,43996.831460129804
44099.2,43961.6,44000.284944837396
43904.0,43961.6,44005.06467540324
43961.6,44044.8,44011.02828479413
44044.8,43961.6,44017.90625285558
44083.2,43961.6,44025.31097018716
43907.2,44044.8,44032.76730441432
43827.2,44083.2,44039.75444101823
44134.4,44089.6,44045.752277974374
44089.6,44089.6,44050.30031367404
44108.8,44108.8,44053.04772155086
43948.8,44089.6,44053.795810969714
44156.8,44108.8,44052.52263466785
44041.6,44070.4,44049.386827040085
44230.4,44070.4,44044.71065807929
44070.4,44041.6,44038.943116006245
43872.0,44070.4,44032.60522744183
43955.2,44000.0,44026.22935347258
44089.6,43955.2,44020.298159316364
44000.0,43974.4,44015.18859590969
43881.6,43974.4,44011.138652281945
43974.4,43974.4,44008.231672753136
43744.0,43974.4,44006.40242183462
44144.0,44009.6,44005.46577867602
44009.6,44025.6,44005.15829086256
44057.6,44025.6,44005.192675330334
44025.6,44012.8,44005.292982383566
43916.8,44025.6,44005.2348495691
44012.8,44012.8,44004.8619428143
44044.8,44012.8,44004.09342331296
44000.0,44012.8,44002.90271970657
44044.8,44000.0,44001.308302400925
43945.6,44000.0,43999.355237706026
43971.2,43971.2,43997.102047688975
44006.4,43971.2,43994.61965028858
43888.0,44006.4,43991.992039000535
44243.2,44025.6,43989.32580696429
44025.6,44025.6,43986.74999246244
44096.0,44025.6,43984.41339330527
43929.6,43929.6,43982.46449951016
43622.4,43929.6,43981.030975649766
43894.4,43929.6,43980.19533979072
43945.6,43945.6,43979.973925262064
43984.0,43984.0,43980.3089695252
44016.0,43984.0,43981.07460904007
44012.8,44012.8,43982.10094237485
43910.4,44016.0,43983.19920894293
44060.8,44012.8,43984.193161247524
44025.6,43910.4,43984.94543691093
43862.4,44025.6,43985.37736400029
43907.2,43996.8,43985.467958871865
44140.8,43996.8,43985.25907582892
43996.8,43996.8,43984.83181247309
44003.2,43996.8,43984.30172171001
43942.4,43977.6,43983.78856389544
43977.6,43948.8,43983.40844688861
43948.8,43948.8,43983.25610627332
43718.4,43977.6,43983.40410409444
44153.6,43996.8,43983.89818595477
44105.6,43996.8,43984.76006355855
43996.8,43996.8,43985.98970778345
43980.8,43984.0,43987.55994796243
43814.4,43984.0,43989.413787572
43984.0,43980.8,43991.453727216576
44176.0,43948.8,43993.53419335471
43948.8,43984.0,43995.46260742618
43856.0,44009.6,43997.00843755523
44371.2,44009.6,43997.93270527244
44009.6,44009.6,43998.01696318987
44080.0,44080.0,43997.108927825866
43942.4,44009.6,43995.149916871385
44121.6,44080.0,43992.20934465309
43936.0,43942.4,43988.472157678814
44131.2,44019.2,43984.23281285026
43788.8,43936.0,43979.85211993406
44019.2,43968.0,43975.71243801506
43769.6,43929.6,43972.17183512587
43968.0,43942.4,43969.51464908033
43929.6,43942.4,43967.923786228224
43942.4,43948.8,43967.46348014635
43948.8,43948.8,43968.07114903125
44019.2,43971.2,43969.560808215174
43971.2,43971.2,43971.64231544372
44032.0,43971.2,43973.94575134697
43952.0,43961.6,43976.05884492952
43961.6,43961.6,43977.57282155886
43801.6,43961.6,43978.13905124747
44115.2,44060.8,43977.52817893973
44060.8,44060.8,43975.67263692805
