Raw_Intensity,Median_Intensity,Median_Gaussian_Intensity
41612.8,41536.0,41691.55272548495
41536.0,41536.0,41700.70131227494
41654.4,41612.8,41718.528773362144
41516.8,41651.2,41744.11558772093
41702.4,41654.4,41776.144099074605
41651.2,41702.4,41812.975567659065
41868.8,41868.8,41852.760808157596
42204.8,41904.0,41893.57277221326
41904.0,41916.8,41933.56151559499
41916.8,42204.8,41971.1041146725
42208.0,42179.2,42004.93852713859
42211.2,42179.2,42034.239448061846
42179.2,42179.2,42058.655109142106
42060.8,42105.6,42078.26002735495
42105.6,42105.6,42093.48657854128
41939.2,42096.0,42105.00221008901
42112.0,42105.6,42113.57899844493
42096.0,42105.6,42119.987336762046
42201.6,42112.0,42124.90867449315
42105.6,42166.4,42128.88322683207
42166.4,42166.4,42132.29071862307
42342.4,42121.6,42135.35992803086
42102.4,42121.6,42138.188330709316
42121.6,42121.6,42140.77424492848
42041.6,42121.6,42143.05233885084
42211.2,42121.6,42144.925763674575
42310.4,42211.2,42146.2976219805
42006.4,42211.2,42147.09799602241
42211.2,42211.2,42147.30816268604
42067.2,42067.2,42146.966594995356
42217.6,42147.2,42146.170026175125
42025.6,42147.2,42145.075634996014
42147.2,42147.2,42143.872063913586
42208.0,42147.2,42142.76489216862
42076.8,42147.2,42141.951329108524
42182.4,42137.6,42141.592211964766
42137.6,42115.2,42141.79741566078
42115.2,42115.2,42142.59793985046
42070.4,42115.2,42143.94793727601
42076.8,42115.2,42145.72011690128
42137.6,42137.6,42147.723685561235
42352.0,42179.2,42149.723260623745
42412.8,42179.2,42151.47074205426
42179.2,42192.0,42152.730882569995
42147.2,42179.2,42153.31129091938
42192.0,42156.8,42153.06583700488
42156.8,42156.8,42151.90737447582
41974.4,42156.8,42149.7995535608
42182.4,42140.8,42146.75549818912
42105.6,42140.8,42142.830253073625
42140.8,42172.8,42138.12629375694
42220.8,42140.8,42132.79148670021
42172.8,42140.8,42127.0337586544
42073.6,42153.6,42121.11073410146
42134.4,42134.4,42115.31502612395
42153.6,42073.6,42109.94376580369
41926.4,42134.4,42105.26283015525
42012.8,42012.8,42101.45483699802
42384.0,42012.8,42098.590133510734
41958.4,42012.8,42096.61368323444
42134.4,42134.4,42095.35447190734
42006.4,42134.4,42094.56238396914
42233.6,42134.4,42093.96459206686
42182.4,42089.6,42093.32680370109
42089.6,42182.4,42092.50153709203
41932.8,42089.6,42091.46206594235
42211.2,42070.4,42090.31320399402
42070.4,42070.4,42089.260015372696
41942.4,42070.4,42088.57247657999
42166.4,42070.4,42088.53214545846
42060.8,42070.4,42089.37486383796
42272.0,42070.4,42091.24437028618
42070.4,42060.8,42094.16446865704
41984.0,42070.4,42098.02297875191
42032.0,42070.4,42102.585203863986
42316.8,42041.6,42107.52193964515
42198.4,42185.6,42112.451185320715
42041.6,42185.6,42116.98464856021
42185.6,42147.2,42120.78022870671
42147.2,42147.2,42123.567388700365
42121.6,42147.2,42125.17541813319
42176.0,42131.2,42125.52950044657
42131.2,42131.2,42124.64488350885
41932.8,42160.0,42122.59902032015
42313.6,42131.2,42119.5125808466
42160.0,42038.4,42115.52666073974
41980.8,42160.0,42110.80084736734
42038.4,42147.2,42105.50032964803
42227.2,42099.2,42099.80981523692
42147.2,42099.2,42093.92651942491
42099.2,42099.2,42088.076154427596
41904.0,42064.0,42082.49421287377
41808.0,42064.0,42077.42749665053
42064.0,42048.0,42073.103804968785
42112.0,42048.0,42069.724140431725
42048.0,42048.0,42067.43405188758
42041.6,42044.8,42066.32370663702
42044.8,42041.6,42066.41304812837
41993.6,42041.6,42067.66778873123
42012.8,42044.8,42070.00212611269
42185.6,42083.2,42073.294126590736
42083.2,42089.6,42077.39864001004
42089.6,42089.6,42082.152773533664
42099.2,42083.2,42087.37368002405
42048.0,42089.6,42092.85354879385
42070.4,42070.4,42098.352333471776
42217.6,42070.4,42103.597072910154
42028.8,42070.4,42108.286191259125
42249.6,42217.6,42112.1176024804
41932.8,42105.6,42114.81253788956
42332.8,42204.8,42116.152673972705
42105.6,42105.6,42116.01098186171
42204.8,42204.8,42114.37167264385
41996.8,42105.6,42111.33171417813
42281.6,42169.6,42107.08479918561
42035.2,42035.2,42101.89228858742
42169.6,42080.0,42096.05579794228
41888.0,42080.0,42089.87851723295
42080.0,42080.0,42083.649930501684
42089.6,42080.0,42077.636025198895
42067.2,42080.0,42072.08505058551
42179.2,42067.2,42067.229123569385
42060.8,42060.8,42063.29755684758
41980.8,42048.0,42060.50999346823
42000.0,42048.0,42059.07195550685
42048.0,42000.0,42059.1506677965
42064.0,42000.0,42060.85445436773
41904.0,42044.8,42064.20204373778
41849.6,42044.8,42069.109181626554
42044.8,42044.8,42075.37564026486
42086.4,42086.4,42082.694753301446
42208.0,42086.4,42090.647743585745
42140.8,42086.4,42098.743932734375
42080.0,42140.8,42106.4380196406
42006.4,42140.8,42113.17510072737
42211.2,42080.0,42118.43037138809
42185.6,42185.6,42121.775904076254
42070.4,42185.6,42122.92171975943
42224.0,42185.6,42121.77615881392
42160.0,42160.0,42118.47473493075
42272.0,42224.0,42113.383280646354
41987.2,42160.0,42107.07064828038
42252.8,42118.4,42100.244696369686
41820.8,41987.2,42093.66287033628
42118.4,41971.2,42088.033578871604
41843.2,41971.2,42083.918153581675
41971.2,42070.4,42081.659636771365
42070.4,42070.4,42081.34368421391
42124.8,42070.4,42082.80514311851
42108.8,42070.4,42085.65901710864
42054.4,42108.8,42089.370382059955
41974.4,42054.4,42093.33570874193
42198.4,42054.4,42096.97353167484
41808.0,42198.4,42099.80345203876
42339.2,42198.4,42101.50858580443
42275.2,42153.6,42101.97410729168
42153.6,42153.6,42101.28539892081
42121.6,42121.6,42099.69317673169
42038.4,42051.2,42097.561841023475
42051.2,42051.2,42095.2819910978
42038.4,42038.4,42093.199047177455
42057.6,42051.2,42091.549569393916
41977.6,42057.6,42090.435547082
42201.6,42057.6,42089.81516254853
42201.6,42124.8,42089.544445964806
41974.4,42163.2,42089.4247838535
42124.8,42124.8,42089.26743298738
42163.2,42054.4,42088.94803580813
41884.8,42124.8,42088.449851000085
42054.4,42080.0,42087.86761801715
42137.6,42080.0,42087.4067713785
42080.0,42080.0,42087.352408758255
42233.6,42080.0,42088.03014796898
41932.8,42080.0,42089.74978088417
42080.0,42054.4,42092.75639046485
42054.4,42054.4,42097.185141651906
41961.6,42054.4,42103.01964451062
42118.4,42054.4,42110.07689748681
42028.8,42118.4,42118.01104845263
42124.8,42118.4,42126.344791405776
42140.8,42124.8,42134.527957843995
42054.4,42140.8,42142.006295026
42300.8,42240.0,42148.29787789313
42240.0,42240.0,42153.058783740766
42246.4,42246.4,42156.12226067783
41920.0,42240.0,42157.50392017099
42284.8,42134.4,42157.381223737204
42134.4,42057.6,42156.032454294356
42057.6,42134.4,42153.770669661484
41936.0,42134.4,42150.883433249415
42163.2,42163.2,42147.584162475796
42188.8,42163.2,42143.98181529482
42281.6,42163.2,42140.08940311011
42131.2,42131.2,42135.85041681565
42070.4,42131.2,42131.18485671622
42105.6,42105.6,42126.0389431442
42198.4,42105.6,42120.431526376575
42028.8,42198.4,42114.48506883736
42198.4,42198.4,42108.42537129427
42201.6,42096.0,42102.55409149114
42096.0,42096.0,42097.200003162034
41961.6,42028.8,42092.63861163613
41974.4,41974.4,42089.027471446316
42028.8,41974.4,42086.35034671782
41948.8,42028.8,42084.401903189406
42249.6,42073.6,42082.80433914419
42297.6,42217.6,42081.0714678401
42073.6,42217.6,42078.692864554236
42217.6,42076.8,42075.23154052051
42041.6,42073.6,42070.39500553624
42076.8,42076.8,42064.1168761706
41942.4,42070.4,42056.56089442707
42371.2,42076.8,42048.1221671995
42070.4,42070.4,42039.37995443374
42163.2,42070.4,42031.03335914416
42000.0,42000.0,42023.816507372714
41920.0,41920.0,42018.41393264864
41888.0,41913.6,42015.37851024035
41865.6,41913.6,42015.06717023437
41913.6,41913.6,42017.60440999259
42035.2,42028.8,42022.87424340145
42028.8,42035.2,42030.533178233076
42108.8,42051.2,42040.06088972459
42051.2,42051.2,42050.81106835798
42051.2,42051.2,42062.07172311866
41987.2,42051.2,42073.126496985475
42272.0,42099.2,42083.30655287688
42099.2,42099.2,42092.0270612919
42332.8,42272.0,42098.82631648064
41961.6,42099.2,42103.379888243886
42300.8,42176.0,42105.508960173676
41964.8,42118.4,42105.18874064922
42176.0,42118.4,42102.54040672515
42118.4,42108.8,42097.81454369165
41990.4,42118.4,42091.37883734857
42108.8,42108.8,42083.68887593818
42201.6,42089.6,42075.26830172065
42076.8,42089.6,42066.67023223084
42089.6,42076.8,42058.43608246696
41843.2,41980.8,42051.059936633625
41961.6,41980.8,42044.9443689318
41980.8,41961.6,42040.36518446753
42179.2,41980.8,42037.460944641076
41942.4,42038.4,42036.22270873996
42128.0,42038.4,42036.51398155702
42038.4,42038.4,42038.09096384533
41984.0,42070.4,42040.6266878153
42070.4,42038.4,42043.73315886875
42096.0,42035.2,42046.97726979265
41936.0,42035.2,42049.88650925321
42035.2,42035.2,42051.975683848446
41996.8,42035.2,42052.75228414386
42310.4,42099.2,42051.77339299075
42099.2,42099.2,42048.69216417868
42169.6,42169.6,42043.32247947473
42083.2,42099.2,42035.69032130171
42169.6,42083.2,42026.068487789424
41827.2,42083.2,42014.97513805871
41980.8,41980.8,42003.13350329526
42115.2,41939.2,41991.402467389926
41939.2,41939.2,41980.67705457025
41792.0,41894.4,41971.781782332684
41894.4,41894.4,41965.38114797454
41785.6,41859.2,41961.903044437684
42038.4,41894.4,41961.49988254564
41859.2,41952.0,41964.04197838864
42080.0,41952.0,41969.13823422568
41952.0,41952.0,41976.18723957553
41923.2,41961.6,41984.445287656024
42140.8,41961.6,41993.098466022086
41961.6,42032.0,42001.33942954856
42032.0,42096.0,42008.44079610488
42102.4,42080.0,42013.80583940293
42096.0,42080.0,42017.00764574707
42080.0,42080.0,42017.80908793475
42044.8,42044.8,42016.15110426243
41904.0,42016.0,42012.13825977384
41984.0,42016.0,42006.00150243036
42016.0,41984.0,41998.07065122645
42089.6,42016.0,41988.746878484955
41958.4,42016.0,41978.47842119502
42064.0,41984.0,41967.74985399407
41872.0,41958.4,41957.07361173298
41984.0,41923.2,41946.96410240078
41910.4,41910.4,41937.92529702758
41923.2,41910.4,41930.414097184446
41820.8,41881.6,41924.80916643062
41881.6,41856.0,41921.37536250499
41856.0,41856.0,41920.2354643383
41827.2,41881.6,41921.36775142011
41955.2,41856.0,41924.613082123215
41939.2,41939.2,41929.70071438463
41776.0,41955.2,41936.295945818754
42067.2,41939.2,41944.03983247375
42153.6,41974.4,41952.585616638906
41856.0,41977.6,41961.623008365044
41974.4,41974.4,41970.88136588507
41977.6,41974.4,41980.11543824647
41964.8,41977.6,41989.083353887916
41980.8,41977.6,41997.52726364492
42118.4,41980.8,42005.16243212923
41699.2,41980.8,42011.69101476301
42147.2,42112.0,42016.82920810473
41878.4,42080.0,42020.353532433044
42112.0,42080.0,42022.145804433916
42080.0,42067.2,42022.22872252889
42067.2,42080.0,42020.77595630095
41932.8,42067.2,42018.099022441296
42099.2,41955.2,42014.601004787415
41750.4,41955.2,42010.71933732225
41955.2,41990.4,42006.860918817736
42054.4,41955.2,42003.35102558541
41990.4,41990.4,42000.39583052318
41952.0,41996.8,41998.08323830885
41996.8,41996.8,41996.39498008788
42067.2,41996.8,41995.24309719201
42032.0,41996.8,41994.51992953168
41961.6,42003.2,41994.13045530402
41964.8,42003.2,41994.020376937886
42003.2,42003.2,41994.18808276033
42134.4,42003.2,41994.672315311764
42147.2,42003.2,41995.52085966576
41923.2,41955.2,41996.75513133427
41955.2,41955.2,41998.32354812633
41952.0,41955.2,42000.08195391817
42073.6,42003.2,42001.77053731076
42003.2,42003.2,42003.02782289282
42057.6,42041.6,42003.4212453332
41974.4,42041.6,42002.49754192989
42041.6,42057.6,41999.84229023297
42179.2,42041.6,41995.13904281288
42131.2,42041.6,41988.23168235715
42009.6,42009.6,41979.16876489578
41884.8,42009.6,41968.22550708911
41916.8,41980.8,41955.91171803581
42166.4,41916.8,41942.94467376299
41980.8,41980.8,41930.19382546008
41750.4,41980.8,41918.60126780232
42057.6,41852.8,41909.073668658486
41734.4,41750.4,41902.374048155216
41852.8,41734.4,41899.016470073766
41731.2,41734.4,41899.19378461562
41728.0,41852.8,41902.749211074435
41942.4,41884.8,41909.19851592016
42185.6,41942.4,41917.79794550801
41884.8,41987.2,41927.64910425482
42032.0,41990.4,41937.80535366756
41987.2,41987.2,41947.379810964754
41990.4,41990.4,41955.6266073665
41904.0,41990.4,41961.986886962884
41990.4,41990.4,41966.11182475022
42048.0,41990.4,41967.862094409196
41904.0,42006.4,41967.29447848721
42006.4,42006.4,41964.63817584591
42217.6,42006.4,41960.27891343024
41945.6,42006.4,41954.7192650951
42112.0,41945.6,41948.54044900778
41859.2,41939.2,41942.344710393845
41939.2,41875.2,41936.69846222538
41766.4,41875.2,41932.06230054494
41875.2,41875.2,41928.729487947894
41888.0,41875.2,41926.794023508584
41721.6,41888.0,41926.143866539176
41910.4,41888.0,41926.47973687427
42105.6,41910.4,41927.37237367268
41804.8,42016.0,41928.32602782426
42016.0,42016.0,41928.855515992815
42112.0,41929.6,41928.545800936234
41849.6,41964.8,41927.09240181506
41929.6,41929.6,41924.3143585747
41964.8,41929.6,41920.14246781127
41654.4,41929.6,41914.590009234584
42083.2,41964.8,41907.72033563541
41824.0,41824.0,41899.616189368215
42064.0,41894.4,41890.37592495007
41760.0,41894.4,41880.11122028698
41894.4,41907.2,41868.97015299227
41907.2,41894.4,41857.15628512831
41936.0,41894.4,41844.938313362596
41798.4,41888.0,41832.64569007327
41888.0,41798.4,41820.63225923848
41724.8,41728.0,41809.226653692
41676.8,41728.0,41798.66808062552
41728.0,41728.0,41789.04808462446
41750.4,41740.8,41780.275658999126
41788.8,41750.4,41772.07438647096
41740.8,41788.8,41764.01590975276
41788.8,41788.8,41755.5964120236
41840.0,41788.8,41746.314963436984
41715.2,41788.8,41735.764216343
41788.8,41788.8,41723.70579202298
41801.6,41772.8,41710.10463843186
41772.8,41772.8,41695.129104175765
41641.6,41641.6,41679.1131958879
41545.6,41641.6,41662.489573541214
41456.0,41584.0,41645.697160938624
41676.8,41584.0,41629.11211721813
41584.0,41584.0,41612.97847462865
41660.8,41584.0,41597.37837444012
41372.8,41584.0,41582.223447704826
41571.2,41571.2,41567.281949010496
41587.2,41552.0,41552.22624237581
41545.6,41552.0,41536.68107630156
41552.0,41552.0,41520.27754477347
41376.0,41552.0,41502.69347145285
41571.2,41552.0,41483.672442855
41584.0,41459.2,41463.02846250121
41398.4,41459.2,41440.63851130316
41459.2,41408.0,41416.430957458964
41382.4,41398.4,41390.36746912476
41408.0,41382.4,41362.44930466188
41280.0,41379.2,41332.719146362986
41379.2,41318.4,41301.28135161737
41318.4,41302.4,41268.315210828034
41302.4,41302.4,41234.085802600835
41260.8,41260.8,41198.923790218585
41161.6,41161.6,41163.21148527259
41046.4,41046.4,41127.31456785889
40883.2,41046.4,41091.5366627051
41027.2,41027.2,41056.06057411753
41052.8,40972.8,41020.918357588285
40918.4,40972.8,40985.991025983625
40972.8,40947.2,40951.04345281593
40931.2,40931.2,40915.7866850877
40947.2,40940.8,40879.960983600344
40787.2,40931.2,40843.41004221674
40940.8,40860.8,40806.13742366762
40860.8,40787.2,40768.33314301337
40768.0,40768.0,40730.35711216529
40489.6,40611.2,40692.69464584109
40611.2,40588.8,40655.8942543215
40537.6,40537.6,40620.4979638869
40588.8,40550.4,40586.98249955713
40377.6,40550.4,40555.72039145601
40550.4,40550.4,40526.95675246501
40601.6,40400.0,40500.8104986939
40400.0,40483.2,40477.279798214884
40380.8,40400.0,40456.25245520052
40483.2,40400.0,40437.51748553688
40310.4,40380.8,40420.77537251263
40438.4,40371.2,40405.65585134162
40371.2,40371.2,40391.73544254214
40342.4,40393.6,40378.56490838032
40393.6,40371.2,40365.701475321555
40441.6,40393.6,40352.74365616831
40297.6,40393.6,40339.35460704992
40451.2,40336.0,40325.28818744787
40252.8,40297.6,40310.39736732719
40336.0,40336.0,40294.63414706327
40182.4,40252.8,40278.04901615536
40339.2,40252.8,40260.79002512737
40252.8,40252.8,40243.09167418437
40192.0,40252.8,40225.28014695778
40265.6,40246.4,40207.7600857397
40246.4,40192.0,40191.00036463011
40156.8,40156.8,40175.49816895676
40067.2,40112.0,40161.73565904393
39961.6,40067.2,40150.10847397693
40112.0,40067.2,40140.87592877719
40060.8,40089.6,40134.09205027578
40243.2,40089.6,40129.57830842077
40089.6,40064.0,40126.91753341301
40064.0,40089.6,40125.48727474448
40051.2,40089.6,40124.53286020049
40198.4,40198.4,40123.26060714956
40275.2,40198.4,40120.942500036435
40224.0,40208.0,40117.01699406853
40153.6,40208.0,40111.16010311219
40208.0,40153.6,40103.31824157489
40105.6,40105.6,40093.69503031119
40048.0,40083.2,40082.70497435842
39910.4,40048.0,40070.88104200253
40083.2,40025.6,40058.789244183165
39961.6,40003.2,40046.936591385456
40025.6,40003.2,40035.71378226214
40003.2,39968.0,40025.362362969776
39968.0,40003.2,40015.98190359355
39849.6,40003.2,40007.56898528208
40147.2,40019.2,40000.07105228098
40019.2,40019.2,39993.44184466794
40108.8,40019.2,39987.68497853815
39785.6,40009.6,39982.86698249396
40009.6,39929.6,39979.104725712314
39868.8,39929.6,39976.524582633516
39929.6,39929.6,39975.21243596026
39929.6,39929.6,39975.15871629138
39920.0,39929.6,39976.23454161324
39993.6,39929.6,39978.17956831889
39913.6,39980.8,39980.63652419462
39980.8,39993.6,39983.2051403028
40067.2,40067.2,39985.50998915729
40080.0,40067.2,39987.26399601888
40086.4,40067.2,39988.31066993717
39945.6,39964.8,39988.63343685474
39948.8,39964.8,39988.33345031569
39964.8,39961.6,39987.578475148955
40153.6,39961.6,39986.54401877448
39961.6,39961.6,39985.35252972911
39878.4,39961.6,39984.04624553219
39923.2,39961.6,39982.57125606498
40009.6,40009.6,39980.8026392713
40019.2,40009.6,39978.58328386839
40038.4,40016.0,39975.775484021826
39907.2,40016.0,39972.302793368115
40016.0,40012.8,39968.17341609197
40012.8,39952.0,39963.48508274686
39952.0,39952.0,39958.403825881695
39910.4,39923.2,39953.12641620326
39827.2,39923.2,39947.84502768614
39923.2,39910.4,39942.71167964286
39958.4,39923.2,39937.826379107035
39884.8,39942.4,39933.23804501933
40054.4,39942.4,39928.96571035192
39942.4,39932.8,39925.0255102637
39932.8,39942.4,39921.46138008965
39760.0,39932.8,39918.358367482404
40064.0,39932.8,39915.854220001755
39843.2,39849.6,39914.12057562832
40012.8,39884.8,39913.3422999804
39849.6,39884.8,39913.683260800295
39884.8,39900.8,39915.25454804507
39900.8,39884.8,39918.090543801365
39929.6,39900.8,39922.13755884931
39884.8,39907.2,39927.247192363124
40028.8,39929.6,39933.1875257981
39907.2,39939.2,39939.65375014215
39939.2,39971.2,39946.293520901534
39971.2,39939.2,39952.718017528765
39974.4,39971.2,39958.53593038674
39894.4,39971.2,39963.36950883122
40083.2,39974.4,39966.888034000294
39808.0,40019.2,39968.82987728677
40019.2,40019.2,39969.031849562074
40112.0,40019.2,39967.44158280235
39974.4,40019.2,39964.1241356582
40134.4,39974.4,39959.25545416304
39865.6,39974.4,39953.10597980465
39900.8,39900.8,39946.015420175616
40124.8,39900.8,39938.36775584896
39897.6,39932.8,39930.560963854616
39932.8,39939.2,39922.98685230677
39964.8,39932.8,39916.00731871499
