Distance,Intensity,Derivative
0,5923.481404068626,278.8649134358375
1,6202.3463175044635,407.5867013123693
2,6738.654806693365,644.8548911968633
3,7492.05609989819,834.6071580209318
4,8407.869122735228,965.5699923374218
5,9423.196084573034,1032.8970198989591
6,10473.663162533147,1038.3318308131275
7,11499.859746199289,989.4411057939215
8,12452.54537412099,898.1073970147454
9,13296.07454022878,778.5425928333343
10,14009.630559787658,645.1812393329392
11,14586.437018894658,510.8822136310464
12,15031.39498704975,385.66904700463147
13,15357.77511290392,276.18453878658966
14,15583.76406462293,185.7377670662081
15,15729.250647036337,114.87005126325676
16,15813.504167149444,62.240335625648186
17,15853.731318287633,25.447458891190763
18,15864.399084931825,1.718729283520588
19,15857.168776854674,-11.602729190160971
20,15841.193626551503,-16.854378950756654
21,15823.460018953161,-16.02297047321008
22,15809.147685605083,-10.788877893271092
23,15801.882263166619,-2.6206448404591356
24,15803.906395924165,7.191928384143466
25,15816.266119934906,17.527153531156728
26,15838.960702986478,27.40720760829754
27,15871.080535151501,36.03651553747477
28,15911.033734061428,42.85904744223262
29,15956.798630035966,47.51373225885254
30,16006.061198579133,49.8376940900871
31,16056.47401821614,49.878726927729076
32,16105.818652434591,47.840228997767554
33,16152.154476211676,44.05449328843224
34,16193.927639011456,38.96682014683665
35,16230.088116505349,33.135929045425655
36,16260.199497102307,27.200637610626472
37,16284.489391726602,21.82951941151441
38,16303.858535925336,17.671703561594768
39,16319.832798849791,15.277240023115155
40,16334.413015971566,15.009155253139397
41,16349.85110935607,16.97984368232119
42,16368.372703336208,21.029394034425422
43,16391.90989742492,26.7113184225218
44,16421.795340181252,33.36411702044461
45,16458.63813146581,40.2208957856983
46,16502.23713175265,46.50547036259013
47,16551.64907219099,51.55326485196019
48,16605.34366145657,54.90722600566187
49,16661.463524202314,56.362922147895006
50,16718.06950575236,55.96831906301486
51,16773.400162328344,53.992989850967206
52,16826.055485454293,50.84759076068622
53,16875.095343849716,47.00057764040503
54,16920.056640735103,42.891609137242995
55,16960.878562124202,38.87608088050183
56,16997.808802496107,35.20066147449688
57,17031.279885073196,31.98265377891039
58,17061.774110053928,29.236415883226073
59,17089.75271683965,26.927052455012017
60,17115.628214963952,24.99787810758062
61,17139.74847305481,23.396662599914634
62,17162.42154016378,22.09302188607944
63,17183.93451682697,21.084091095703116
64,17204.589722355187,20.38768759533741
65,17224.709892017643,20.018996944010723
66,17244.62771624321,19.98925005266392
67,17264.68839212297,20.301088801063088
68,17285.229893845335,20.938811452502705
69,17306.566015027976,21.8587884755907
70,17328.947470796516,22.992162379670845
71,17352.550339787318,24.23423668436226
72,17377.41594416524,25.42065875242588
73,17403.39165729217,26.333952543682244
74,17430.083849252605,26.72220865624149
75,17456.836074604653,26.324151994920612
76,17482.732153242447,24.92560915838476
