Raw_Intensity,Median_Intensity,Median_Gaussian_Intensity
627.0,627.0,5923.481404068626
627.0,627.0,6202.3463175044635
888.0,888.0,6738.654806693365
3133.0,3133.0,7492.05609989819
6684.0,6684.0,8407.869122735228
10078.0,10078.0,9423.196084573034
13734.0,13734.0,10473.663162533147
16867.0,16553.0,11499.859746199289
17546.0,16553.0,12452.54537412099
16553.0,16553.0,13296.07454022878
16345.0,16345.0,14009.630559787658
15770.0,16240.0,14586.437018894658
15666.0,16083.0,15031.39498704975
16240.0,15770.0,15357.77511290392
16083.0,16083.0,15583.76406462293
15561.0,16136.0,15729.250647036337
16919.0,16083.0,15813.504167149444
16136.0,16136.0,15853.731318287633
15718.0,16136.0,15864.399084931825
16397.0,15979.0,15857.168776854674
15979.0,15718.0,15841.193626551503
14935.0,15822.0,15823.460018953161
15405.0,15457.0,15809.147685605083
15822.0,15405.0,15801.882263166619
15457.0,15457.0,15803.906395924165
15352.0,15666.0,15816.266119934906
15666.0,15666.0,15838.960702986478
15875.0,15875.0,15871.080535151501
15875.0,15875.0,15911.033734061428
16136.0,15875.0,15956.798630035966
16188.0,16031.0,16006.061198579133
15875.0,16136.0,16056.47401821614
16031.0,16188.0,16105.818652434591
16762.0,16031.0,16152.154476211676
16762.0,16292.0,16193.927639011456
15770.0,16501.0,16230.088116505349
16292.0,16501.0,16260.199497102307
16501.0,16292.0,16284.489391726602
16815.0,16449.0,16303.858535925336
16136.0,16501.0,16319.832798849791
16449.0,16449.0,16334.413015971566
16919.0,16188.0,16349.85110935607
16188.0,16188.0,16368.372703336208
16136.0,16188.0,16391.90989742492
15979.0,16136.0,16421.795340181252
16710.0,16136.0,16458.63813146581
16031.0,16397.0,16502.23713175265
16397.0,16658.0,16551.64907219099
16919.0,16449.0,16605.34366145657
16658.0,16658.0,16661.463524202314
16449.0,16919.0,16718.06950575236
17076.0,16919.0,16773.400162328344
16919.0,16919.0,16826.055485454293
17232.0,17076.0,16875.095343849716
16658.0,16919.0,16920.056640735103
17076.0,16971.0,16960.878562124202
16658.0,16971.0,16997.808802496107
16971.0,17076.0,17031.279885073196
17546.0,17076.0,17061.774110053928
17076.0,17128.0,17089.75271683965
17128.0,17128.0,17115.628214963952
17911.0,17076.0,17139.74847305481
16710.0,17128.0,17162.42154016378
16919.0,17493.0,17183.93451682697
17911.0,17180.0,17204.589722355187
17493.0,17180.0,17224.709892017643
17180.0,17180.0,17244.62771624321
16762.0,17180.0,17264.68839212297
16971.0,17180.0,17285.229893845335
17441.0,17389.0,17306.566015027976
17859.0,17389.0,17328.947470796516
17389.0,17441.0,17352.550339787318
17285.0,17389.0,17377.41594416524
17493.0,17285.0,17403.39165729217
17128.0,17285.0,17430.083849252605
17232.0,17337.0,17456.836074604653
17859.0,17337.0,17482.732153242447
17337.0,17702.0,17506.687292921422
17702.0,17702.0,17527.561181207628
17702.0,17702.0,17544.33048139518
17493.0,17702.0,17556.244737241366
17702.0,17650.0,17562.97847625679
17389.0,17650.0,17564.695870786567
17650.0,17650.0,17562.049485441094
17859.0,17650.0,17556.09649987321
17285.0,17650.0,17548.152621328707
18016.0,17389.0,17539.572639242364
17337.0,17389.0,17531.58317554139
17389.0,17389.0,17525.147522085852
17598.0,17337.0,17520.879931748983
17128.0,17389.0,17519.073939621787
