Raw_Intensity,Median_Intensity,Median_Gaussian_Intensity
1274.0,1274.0,10152.000372599092
1513.0,1513.0,10647.649636338192
1513.0,1513.0,11602.73603590888
4618.0,4618.0,12948.747489521633
10272.0,10272.0,14592.206805102853
17120.0,17120.0,16424.53531525064
23650.0,23650.0,18333.150285509222
28348.0,28348.0,20212.34370234997
30180.0,29304.0,21972.51296537495
29304.0,29304.0,23546.565077023035
29463.0,29304.0,24892.909252542406
29304.0,29304.0,25994.98906847789
29304.0,29304.0,26857.931475289108
28905.0,29224.0,27503.306930323826
29065.0,29065.0,27963.11178792906
29224.0,28905.0,28273.919089647796
28587.0,28746.0,28472.127011951678
28746.0,28587.0,28590.63112103569
28348.0,28587.0,28656.825284968432
28428.0,28428.0,28691.966105699485
28826.0,28428.0,28711.405728157566
28348.0,28667.0,28725.26737882164
28667.0,28746.0,28739.488685886834
28746.0,28667.0,28756.896047030456
28905.0,28667.0,28778.06510500963
28667.0,28746.0,28802.2043716962
28507.0,28826.0,28827.755579732126
28826.0,28826.0,28852.83926433982
29224.0,29065.0,28875.605108972202
29065.0,29065.0,28894.484491574738
29144.0,29065.0,28908.308142119193
28985.0,29065.0,28916.46942082712
28348.0,28985.0,28918.96678801825
29065.0,28985.0,28916.374508033055
27950.0,29065.0,28909.743703515436
29224.0,29065.0,28900.460098312633
29224.0,28507.0,28890.066559091916
28189.0,29065.0,28880.089242460162
28507.0,28587.0,28871.883940195996
29065.0,28587.0,28866.52519462018
28587.0,28985.0,28864.75184152763
28985.0,28985.0,28866.94629442639
29144.0,28667.0,28873.17528341953
28667.0,28985.0,28883.236424087394
28348.0,28746.0,28896.715060473685
28985.0,28746.0,28913.0382769415
28746.0,28985.0,28931.53472063916
29065.0,28985.0,28951.483935953627
28985.0,28985.0,28972.187293900482
28905.0,28985.0,28993.022847550208
28985.0,28985.0,29013.511047886837
29304.0,29144.0,29033.364016334504
29144.0,29144.0,29052.51522055268
29383.0,29144.0,29071.10789878594
28667.0,29065.0,29089.441767310323
29065.0,29065.0,29107.88686439798
28985.0,29065.0,29126.7780880931
29144.0,29065.0,29146.307458274143
29065.0,29065.0,29166.42094071809
28985.0,29144.0,29186.844492718297
29224.0,29224.0,29207.045570536866
29383.0,29224.0,29226.338444555342
29224.0,29383.0,29243.982376822118
29383.0,29383.0,29259.28472698921
29383.0,29383.0,29271.641019038914
29383.0,29383.0,29280.615563400177
29065.0,29383.0,29285.917986787437
29144.0,29144.0,29287.373451019008
29383.0,29144.0,29284.896399608773
28985.0,29383.0,29278.464126185474
29383.0,29383.0,29268.135202361504
29542.0,29383.0,29254.10058506862
29383.0,29383.0,29236.747333288244
29144.0,29304.0,29216.70752667598
29144.0,29224.0,29194.863676746165
29304.0,29144.0,29172.322359892758
29224.0,29144.0,29150.28393110796
29065.0,29065.0,29129.9102297801
28587.0,28985.0,29112.192265724392
28985.0,28905.0,29097.798975364523
28667.0,28905.0,29087.032105651073
28905.0,28985.0,29079.842719887332
29383.0,28905.0,29075.924305668974
29383.0,29383.0,29074.83633481243
28507.0,29383.0,29076.154057237527
29463.0,28985.0,29079.565627016476
28985.0,28985.0,29084.920107433525
28746.0,28985.0,29092.201884876744
29304.0,28985.0,29101.451573484905
28985.0,29065.0,29112.64435464658
29065.0,29065.0,29125.601240229204
29224.0,29065.0,29139.924018969836
28905.0,29224.0,29154.972097016656
29463.0,29224.0,29169.919421002338
29463.0,29065.0,29183.832880324786
29065.0,29383.0,29195.797648438944
28905.0,29383.0,29205.030450222395
29383.0,29065.0,29210.982604010722
29622.0,29383.0,29213.406266936683
28746.0,29383.0,29212.381556498796
29542.0,29304.0,29208.305772479955
28905.0,29144.0,29201.837939665405
29304.0,29144.0,29193.823258476627
29144.0,29144.0,29185.213459476556
28587.0,29144.0,29176.960970324246
29144.0,29144.0,29169.950498610404
29304.0,29144.0,29164.903550625113
28667.0,29144.0,29162.283952004345
29224.0,29144.0,29162.26671288241
29144.0,29065.0,29164.668764324982
29065.0,29065.0,29168.937668406255
28905.0,29065.0,29174.181869559547
28667.0,29065.0,29179.25344038199
29304.0,29304.0,29182.899795578855
29304.0,29304.0,29183.957222183293
29542.0,29383.0,29181.56488310491
29383.0,29383.0,29175.34621675985
29383.0,29383.0,29165.561986222852
28826.0,29224.0,29153.114600017696
29224.0,29065.0,29139.463412774454
29065.0,29065.0,29126.45832585481
28667.0,29065.0,29116.059116836426
