Raw_Intensity,Median_Intensity,Median_Gaussian_Intensity
1019.0,1019.0,7311.549975975037
1245.0,1245.0,7736.91668929509
1358.0,1358.0,8561.002935009186
2037.0,2037.0,9732.568716896501
4980.0,4980.0,11179.889726764237
9847.0,9847.0,12816.759739325013
16412.0,16412.0,14549.974411159787
22185.0,22185.0,16287.637983765922
25241.0,25241.0,17947.21269037749
26372.0,26259.0,19462.190040192843
26259.0,26259.0,20786.557890713208
26599.0,26259.0,21896.200437017615
24675.0,24675.0,22787.57128019497
23882.0,24675.0,23473.94593403507
24222.0,24561.0,23980.24789147523
25241.0,24561.0,24337.548037631277
24561.0,25127.0,24578.185711130085
25241.0,25127.0,24732.150449134053
25127.0,25127.0,24824.893429014337
25127.0,25127.0,24876.52466809631
24788.0,24901.0,24901.992342380738
24901.0,24901.0,24911.902447355762
24901.0,24901.0,24913.567002193337
25014.0,24901.0,24911.98079993944
24788.0,24901.0,24910.583875907545
24561.0,24788.0,24911.763328642966
25693.0,24788.0,24917.1612189151
24788.0,24788.0,24927.778718841637
25354.0,24901.0,24944.022207427206
24335.0,24788.0,24965.688853822285
24901.0,24901.0,24991.969293893017
24788.0,24788.0,25021.562340078617
25354.0,24901.0,25052.859978742978
24675.0,25354.0,25084.21315912008
25354.0,25354.0,25114.12321796987
25467.0,25354.0,25141.5562318147
25241.0,25354.0,25166.069673045575
25580.0,25241.0,25187.841281013643
25241.0,25241.0,25207.644335306748
24561.0,25241.0,25226.641039565628
25354.0,25014.0,25246.141897245234
24448.0,25014.0,25267.36421729607
25014.0,25241.0,25291.205031700352
25241.0,25241.0,25318.156346734857
25467.0,25241.0,25348.283025348377
25354.0,25354.0,25381.325483231303
25014.0,25467.0,25416.87996433358
26033.0,25580.0,25454.569612808322
25920.0,25580.0,25494.206207556883
25580.0,25580.0,25535.84020933471
25580.0,25580.0,25579.72824482908
25467.0,25580.0,25626.167564241245
25467.0,25580.0,25675.30742509964
25580.0,25467.0,25726.92196664233
26146.0,25467.0,25780.276594242132
25241.0,25580.0,25834.095343907447
25241.0,26146.0,25886.662799033747
26146.0,26146.0,25936.06586607046
26372.0,26146.0,25980.518832806545
26372.0,26372.0,26018.684334477017
25693.0,26372.0,26049.92570198154
26372.0,26372.0,26074.458865335546
26486.0,26033.0,26093.29421046924
25920.0,26033.0,26108.07069636768
26033.0,26033.0,26120.791387074834
25807.0,25920.0,26133.462552191013
26033.0,26033.0,26147.815938800675
25807.0,26033.0,26165.0545131602
26146.0,26146.0,26185.72798516074
26146.0,26146.0,26209.697063778105
26825.0,26259.0,26236.201210433836
26259.0,26259.0,26263.99824526815
26259.0,26259.0,26291.562632751284
26486.0,26259.0,26317.31665178019
