Distance,Intensity,Derivative
0,10026.293270097185,400.33545836748635
1,10426.628728464671,585.9450440767041
2,11198.183358250593,929.6076303446926
3,12285.843989154057,1208.0900236409489
4,13614.363405532491,1405.1693080651921
5,15096.18260528444,1512.9418820321698
6,16640.24716959683,1532.2196974306153
7,18160.62200014567,1471.7910279910811
8,19583.829225578993,1346.6964723175406
9,20854.014944780753,1175.7890869284583
10,21935.40739943591,979.0525932143264
11,22812.120131209405,775.1197982593603
12,23485.64699595463,579.391840483655
13,23970.903812176715,402.92772432529455
14,24291.50244460522,252.2332376000213
15,24475.370287376758,129.83558211432864
16,24551.173608833877,35.23457168715504
17,24545.839430751068,-33.976784091566515
18,24483.220040650744,-81.05088387638534
19,24383.737662998297,-109.30486010159257
20,24264.61032044756,-121.70105319291179
21,24140.335556612474,-120.71910007756742
22,24023.172120292424,-108.43546283585965
23,23923.464630940754,-86.72833584943146
24,23849.71544859356,-57.46417831672079
25,23808.536274307313,-22.60636458259978
26,23804.50271942836,15.75447037198137
27,23840.045215051276,55.45151831867588
28,23915.405756065713,94.38391536736344
29,24028.813045786002,130.66835923561848
30,24176.74247453695,162.71112491579697
31,24354.235295617596,189.31565128442708
32,24555.373777105804,209.70960764212577
33,24773.654510901848,223.47750756756977
34,25002.328792240944,230.55889156331068
35,25234.77229402847,231.17727374327842
36,25464.6833397275,225.79277063605878
37,25686.357835300587,215.10428875386424
38,25894.89191723523,200.02376758906576
39,26086.40537047872,181.6364455749299
40,26258.16480838509,161.15448041554373
41,26408.714331309806,139.84836147049282
42,26537.861531326074,118.94881157099735
43,26646.6119544518,99.55083995831774
44,26736.96321124271,82.51683293321548
45,26811.64562031823,68.42783264367972
46,26873.81887653007,57.53009191610545
47,26926.705804150442,49.73681505702007
48,26973.29250664411,44.679809516735986
49,27016.065423183914,41.7640505728541
50,27056.820607789818,40.28276748111239
51,27096.63095814614,39.51825454065511
52,27135.857116871128,38.82893602090189
53,27174.288830187943,37.74565470063499
54,27211.348426272398,36.0305278476917
55,27246.349885883326,33.67568357734308
56,27278.699793427084,30.87332216275172
57,27308.09653020883,27.968449890795455
58,27334.636693208675,25.38324283728616
59,27358.863015883402,23.51757711625214
60,27381.67184744118,22.648981663196537
61,27404.160979209795,22.879644033453587
62,27427.431135508086,24.105303971511603
63,27452.37158715282,26.018758037303996
64,27479.468651582694,28.165337647445995
65,27508.70226244771,30.01371214963001
66,27539.496075881954,31.055734822582963
67,27570.813732092876,30.893795658081217
68,27601.283667198117,29.310927310076295
69,27629.43558671303,26.328623105551742
70,27653.94091340922,22.182934373608077
71,27673.801455460245,17.273580990269693
72,27688.48807538976,12.097278928369633
73,27697.996013316984,7.173552165395449
74,27702.83517972055,2.966067277970069
75,27703.928147872924,-0.19898673579700699
76,27702.437206248956,-2.128842856092888
77,27699.67046216074,-2.7883841467228194
78,27696.86043795551,-2.3059271058937156
79,27695.05860794895,-0.9188677699166874
80,27695.022702415677,1.054515470565093
81,27697.16763889008,3.2581069421685243
82,27701.538916300015,5.348655836569378
83,27707.86495056322,7.05425688410287
84,27715.64743006822,8.220437421483439
85,27724.305825406187,8.847852769378733
86,27733.343135606978,9.090032640175195
87,27742.485890686537,9.246801728872015
88,27751.83673906472,9.696434647423303
89,27761.878759981384,10.786836014158325
90,27773.41041109304,12.771135297121873
91,27787.421030575628,15.722993027166012
92,27804.85639714737,19.48882862315986
93,27826.398687821948,23.71173890501086
94,27852.279874957392,27.88884113253698
95,27882.17637008702,31.464867899599994
96,27915.209610756592,33.94176969147884
97,27950.05990946998,34.960683197970866
98,27985.130977152534,34.358768489884824
99,28018.77744644975,32.18974160125072
100,28049.510460355035,28.69162188734481
101,28076.16069022444,24.233736940130257
102,28097.977934235296,19.251914220621984
103,28114.664518665682,14.182788414447714
104,28126.34351106419,9.417620478483514
105,28133.49975962265,5.275748337424375
106,28136.89500773904,1.9929171254425455
107,28137.485593873535,-0.28433196184414555
108,28136.32634381535,-1.4817887320277805
109,28134.52201640948,-1.597517768277612
110,28133.131308278796,-0.7171146855016559
111,28133.087787038476,1.0118875733060122
