Raw_Intensity,Median_Intensity,Median_Gaussian_Intensity
2210.6,2210.6,10433.54973017226
2554.4,2554.4,10910.216525232228
3765.8,3765.8,11833.220517302581
6041.8,6041.8,13144.51018660229
9701.2,9701.2,14763.34388806533
14981.8,14981.8,16593.401234583802
20319.6,20319.6,18531.193157438647
24888.0,24888.0,20474.98210200648
29259.6,29259.6,22333.151188631924
31347.0,31347.0,24030.930858493826
32067.6,31347.0,25514.790487937837
31797.4,31347.0,26753.979913815194
30446.4,30847.8,27739.364767440627
29759.0,30790.2,28480.027139664817
30847.8,30446.4,28998.518533298356
30790.2,30561.4,29325.735138423337
29988.0,30561.4,29496.180702530593
30561.4,30127.2,29544.19831470016
29734.2,29988.0,29501.549129477302
30127.2,29734.2,29396.135802601628
29341.2,29341.2,29251.67610527495
28710.8,28931.8,29088.014538881733
28931.8,28801.0,28921.683052395998
28801.0,28710.8,28766.44342683525
28064.2,28064.2,28633.698557099764
27278.4,27704.0,28532.666431403777
27704.0,27507.4,28470.365517882572
27090.0,27507.4,28451.57417992344
27507.4,27704.0,28478.719556394306
27802.2,27802.2,28551.869245715312
27900.6,27900.6,28668.911341485848
28809.0,28555.4,28825.77061196351
28555.4,28809.0,29016.764541761535
28883.0,28883.0,29235.05446421864
29365.8,29365.8,29473.03139425868
29595.0,29595.0,29722.74107098295
30241.8,30241.8,29976.18646904226
30258.2,30258.2,30225.69242469014
30495.8,30495.8,30464.19158083165
31723.6,31167.0,30685.505259505422
31830.0,31592.6,30884.633331444576
31167.0,31723.6,31057.963005271704
31592.6,31830.0,31203.41064512501
31944.8,31650.0,31320.468072349042
31944.6,31658.0,31410.128074955504
31650.0,31944.6,31474.695510462658
31658.0,31691.0,31517.453641878514
31944.6,31658.0,31542.33135597942
31691.0,31658.0,31553.48418413682
31592.6,31592.6,31554.917367327853
31363.6,31568.4,31550.151199443953
31568.4,31363.6,31541.980636163258
31126.0,31306.2,31532.343480967786
30978.6,31306.2,31522.37828822261
31306.2,31306.2,31512.551686026978
31764.4,31764.4,31502.91689396376
31863.0,31764.4,31493.435600699646
32075.6,31764.4,31484.23260769358
31592.8,31592.8,31475.815825905625
31314.4,31379.8,31469.095663290253
31379.8,31314.4,31465.31090343828
31314.4,31314.4,31465.82513346064
31224.4,31224.4,31471.838045342105
31175.2,31224.4,31484.11418336617
31134.4,31224.4,31502.792801852607
32157.4,31486.4,31527.305367106695
31707.2,31486.4,31556.422754061812
31486.4,31707.2,31588.442814953185
31388.2,31707.2,31621.392590939322
32403.2,31748.4,31653.295048078435
31748.4,31748.4,31682.392867920742
32010.4,31920.2,31707.309574598105
31641.8,31813.6,31727.13035694427
31920.2,31813.6,31741.388369411914
31813.6,31813.6,31750.00313912019
31453.4,31813.6,31753.168552819094
31854.6,31813.6,31751.227241445125
31731.8,31731.8,31744.57770135406
32034.6,31731.8,31733.57830768983
31306.2,31731.8,31718.53879409628
31404.2,31756.4,31699.715175516805
31756.4,31756.4,31677.364328389103
32378.6,31756.4,31651.80856724045
32223.0,31756.4,31623.500738234565
31617.4,31617.4,31593.060799858446
31109.6,31617.4,31561.307930436782
31150.4,31363.4,31529.253536409018
31633.8,31363.4,31498.089586213893
31363.4,31535.2,31469.12512674889
31732.0,31535.2,31443.734495778823
31535.2,31363.4,31423.265386649364
31248.8,31248.8,31408.941591860057
31060.6,31224.2,31401.754843285606
31224.2,31224.2,31402.342895372993
30962.4,31224.2,31410.912734238394
31568.2,31224.2,31427.1804943635
31347.2,31347.2,31450.378164497793
31158.8,31412.8,31479.318793899758
31412.8,31412.8,31512.51390077008
32198.4,31674.4,31548.31135867844
31674.4,31731.8,31585.0513307771
31731.8,31731.8,31621.180309947533
31977.4,31674.4,31655.29703181456
31641.8,31731.8,31686.20845535244
31642.2,31731.8,31712.877565349947
31740.2,31731.8,31734.41377809409
31731.8,31740.2,31750.066100647316
32370.6,31838.4,31759.256409418875
32575.0,31969.0,31761.62561022073
31838.4,31969.0,31757.14582964555
31969.0,31953.0,31746.20440105249
31953.0,31838.4,31729.635237907518
31527.2,31944.8,31708.713370360958
31183.2,31527.2,31685.071296826212
31944.8,31527.2,31660.55314744233
31519.0,31527.4,31637.03075707399
31527.4,31527.4,31616.21702884975
31895.4,31527.4,31599.509277284295
31208.0,31527.4,31587.898224566314
31690.8,31379.6,31581.922577224417
31191.4,31379.6,31581.700409743942
31379.6,31690.8,31587.02399487741
31756.6,31379.6,31597.44599049688
31952.8,31756.6,31612.385131812593
31306.2,31756.6,31631.20296909169
31822.0,31543.6,31653.244283242468
31076.8,31543.6,31677.862375849087
31543.6,31682.8,31704.39918558534
32092.0,31617.2,31732.152015597385
31682.8,31682.8,31760.37888104063
31617.2,31928.2,31788.2960806414
32083.8,31920.2,31815.09794036008
31928.2,31920.2,31839.995921401332
31920.2,31920.2,31862.25104468036
31862.6,31911.8,31881.228412269764
31911.8,31911.8,31896.393270810135
31797.4,31911.8,31907.3613238919
32083.8,31911.8,31913.934730306562
32141.4,32083.8,31916.12822670982
31822.0,32083.8,31914.210814199036
32272.2,31952.8,31908.726125058623
31805.6,31936.4,31900.50313973806
31952.8,31936.4,31890.605086864627
31936.4,31936.4,31880.254103364514
31568.0,31936.4,31870.65799355028
32059.4,31568.0,31862.899807677008
31552.0,31568.0,31857.74396029068
31437.0,31854.8,31855.50825065323
31854.8,31805.8,31856.001338086444
31879.2,31854.8,31858.507164901977
31805.8,31879.2,31861.84832559878
31879.2,31879.2,31864.516322401254
32067.6,31879.2,31864.85701747868
32337.8,31879.2,31861.258709781858
31772.6,32067.6,31852.36948239109
31617.2,32149.4,31837.280557475835
32149.4,31895.6,31815.640046102657
32264.0,31895.6,31787.77640152132
31895.6,31895.6,31754.66345578754
31551.6,31895.6,31717.848175191593
31420.8,31551.6,31679.332957220548
32002.0,31519.0,31641.367241380758
31273.4,31519.0,31606.22038671288
31519.0,31519.0,31575.97652715249
31912.0,31322.6,31552.341457840404
31322.6,31322.6,31536.51209531878
31101.6,31322.6,31529.11202386648
31199.6,31322.6,31530.17464066667
31994.0,31510.6,31539.211560355096
31510.6,31527.2,31555.303240131394
31707.2,31609.0,31577.172458173973
31527.2,31609.0,31603.287290019445
31609.0,31609.0,31631.931077940462
31953.0,31527.2,31661.26791513524
31322.4,31609.0,31689.424781158476
31085.0,31953.0,31714.56600793408
32264.0,31535.6,31735.042820283415
32452.0,31977.4,31749.52787601501
31535.6,32247.4,31757.182274188763
31977.4,31977.4,31757.77915012178
32247.4,31838.4,31751.76657561846
31838.4,31838.4,31740.243239162464
31560.0,31715.4,31724.83650858122
31715.4,31650.2,31707.500656480595
31650.2,31560.0,31690.2789574547
31535.4,31535.4,31675.04366326399
31363.4,31535.2,31663.280046469343
31535.2,31535.2,31655.925568914223
31396.2,31535.2,31653.3018040456
31691.0,31617.2,31655.131867664284
32264.0,31617.2,31660.647501321208
31617.2,31617.2,31668.751011868208
31265.2,31617.2,31678.23398623675
