distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10,abs_derivative:Raw,abs_derivative:Median+Gaussian,abs_derivative:Huber MRF lambda=0.1,abs_derivative:Huber MRF lambda=1,abs_derivative:Huber MRF lambda=10
0,34992.0,39822.018142198904,35032.60913791381,35398.09101782485,37345.11256102377,1072.0,158.80543300499266,1031.3908620927978,665.9094439425971,235.31125610238087,1072.0,158.80543300499266,1031.3908620927978,665.9094439425971,235.31125610238087
1,36064.0,39980.823575203896,36064.00000000661,36064.00046176745,37580.42381712615,1392.0,230.8299955339353,1371.6954310413057,1188.954427953915,311.13244695868343,1392.0,230.8299955339353,1371.6954310413057,1188.954427953915,311.13244695868343
2,37776.0,40283.678133266774,37775.99999999642,37775.99987373268,37967.37745494114,1784.0,361.0243290085855,1783.9999999979482,1783.9997878940776,1025.7880194517493,1784.0,361.0243290085855,1783.9999999979482,1783.9997878940776,1025.7880194517493
3,39632.0,40702.87223322107,39632.0000000025,39632.000037555605,39631.99985602965,1632.0,458.741979129285,1632.000000000502,1632.000054424403,1536.3113725206567,1632.0,458.741979129285,1632.000000000502,1632.000054424403,1536.3113725206567
4,41040.0,41201.162091525344,41039.999999997424,41039.99998258149,41040.00019998245,1696.0,516.6220408865775,1696.0000000008622,1695.9999899010472,1695.9999151516458,1696.0,516.6220408865775,1696.0000000008622,1695.9999899010472,1695.9999151516458
5,43024.0,41736.11631499422,43024.00000000423,43024.0000173577,43023.99968633294,1696.0,531.786871977547,1695.999999998181,1695.9999933298495,1443.537518104,1696.0,531.786871977547,1695.999999998181,1695.9999933298495,1443.537518104
6,44432.0,42264.73583548044,44431.999999993786,44431.99996924119,43927.07523619045,1296.0,505.7883146971835,1267.7282643788094,1152.2436544294906,629.3372155100842,1296.0,505.7883146971835,1267.7282643788094,1152.2436544294906,629.3372155100842
7,45616.0,42747.69294438859,45559.456528761846,45328.48732621668,44282.67411735311,456.0,443.9568223688402,484.0565977671613,507.53302162657565,288.9325870303146,456.0,443.9568223688402,484.0565977671613,507.53302162657565,288.9325870303146
8,45344.0,43152.64948021812,45400.11319552811,45447.06601249434,44504.94041025108,112.0,354.3350800235785,121.22264440679282,170.11169252482432,180.31331341052282,112.0,354.3350800235785,121.22264440679282,170.11169252482432,180.31331341052282
9,45840.0,43456.363104435746,45801.90181757543,45668.71071126633,44643.30074417416,232.0,246.3477065431398,211.29770992448175,136.00005440515815,78.52537113178187,232.0,246.3477065431398,211.29770992448175,136.00005440515815,78.52537113178187
10,45808.0,43645.3448933044,45822.70861537707,45719.066121304655,44661.991152514645,104.0,129.54192752843664,94.34987468698819,5.888470690653776,-38.610034033776174,104.0,129.54192752843664,94.34987468698819,5.888470690653776,38.610034033776174
11,46048.0,43715.44695949262,45990.60156694941,45680.48765264764,44566.080676106605,-352.0,12.592731522719987,-359.3543077110662,-307.53349137903206,-170.00644260271292,352.0,12.592731522719987,359.3543077110662,307.53349137903206,170.00644260271292
12,45104.0,43670.53035634984,45103.99999995494,45103.99913854659,44321.97826730922,-984.0,-97.39718298777734,-949.369370568631,-758.1223881961341,-283.20349543192424,984.0,97.39718298777734,949.369370568631,758.1223881961341,283.20349543192424
13,44080.0,43520.652593517065,44091.862825812146,44164.24287625537,43999.67368524276,-656.0,-195.20605660844376,-649.8001477027137,-630.802531749323,-326.32089780432216,656.0,195.20605660844376,649.8001477027137,630.802531749323,326.32089780432216
14,43792.0,43280.11824313295,43804.39970454951,43842.394075047945,43669.336471700575,-208.0,-277.4423296920795,-225.46459851507825,-296.6517636834469,-336.4703899571541,208.0,277.4423296920795,225.46459851507825,296.6517636834469,336.4703899571541
15,43664.0,42965.767934132906,43640.93362878199,43570.939348888474,43326.73290532845,-272.0,-342.258500255939,-278.7979318575599,-317.9850517152372,-359.4669211057044,272.0,342.258500255939,278.7979318575599,317.9850517152372,359.4669211057044
16,43248.0,42595.60124262107,43246.80384083439,43206.42397161747,42950.40262948917,-696.0,-388.95688370886637,-684.4668143288764,-649.4696319423456,-527.3839241131463,696.0,388.95688370886637,684.4668143288764,649.4696319423456,527.3839241131463
17,42272.0,42187.85416671517,42272.00000012424,42272.00008500378,42271.965057102156,-800.0,-417.5258326919866,-792.4814463212278,-751.530105526439,-611.6490516074118,800.0,417.5258326919866,792.4814463212278,751.530105526439,611.6490516074118
18,41648.0,41760.5495772371,41661.84094819194,41703.36376056459,41727.10452627434,-432.0,-428.2947948864712,-438.92047418712536,-459.6819422621775,-471.521792690266,432.0,428.2947948864712,438.92047418712536,459.6819422621775,471.521792690266
19,41408.0,41331.26457694223,41394.159051749986,41352.63620047943,41328.921471721624,-568.0,-421.7472976286663,-574.9204741330577,-595.6819169367009,-555.6191664605685,568.0,421.7472976286663,574.9204741330577,595.6819169367009,555.6191664605685
20,40512.0,40917.05498197977,40511.99999992582,40511.99992669119,40615.866193353206,-720.0,-398.4199518129062,-712.1590517228142,-688.6361840286445,-554.3797832068267,720.0,398.4199518129062,712.1590517228142,688.6361840286445,554.3797832068267
21,39968.0,40534.42467331642,39969.84094830436,39975.36383242214,40220.16190530797,-464.0,-358.9660792098002,-464.9204741308822,-467.68184738072887,-383.0961927798344,464.0,358.9660792098002,464.9204741308822,467.68184738072887,383.0961927798344
22,39584.0,40199.12282356017,39582.15905166406,39576.63623192973,39849.67380779354,-576.0,-304.3084354001221,-576.9204740313799,-575.9450299246128,-357.2044071247583,576.0,304.3084354001221,576.9204740313799,575.9450299246128,357.2044071247583
23,38816.0,39925.807802516174,38816.0000002416,38823.473772572914,39505.753091058454,-632.0,-235.81492586343302,-627.937758272772,-575.8900276732857,-309.4330621821573,632.0,235.81492586343302,627.937758272772,575.8900276732857,309.4330621821573
24,38320.0,39727.4929718333,38326.28353511851,38424.85617658316,39230.80768342922,-432.0,-155.45204878365985,-416.48624576083967,-346.1895076981709,-229.4050234577735,432.0,155.45204878365985,416.48624576083967,346.1895076981709,229.4050234577735
25,37952.0,39614.903704948854,37983.02750871992,38131.09475717657,39046.94304414291,-176.0,-65.86711729279341,-188.11848279900005,-204.2140408183077,-129.11748707916922,176.0,65.86711729279341,188.11848279900005,204.2140408183077,129.11748707916922
26,37968.0,39595.758737247714,37950.04656952051,38016.42809494655,38972.572709270884,-128.0,29.650538056666846,-122.74809159684082,-90.45261475675215,-24.141699408479326,128.0,29.650538056666846,122.74809159684082,90.45261475675215,24.141699408479326
27,37696.0,39674.20478106219,37737.53132552624,37950.18952766307,38998.65964532595,-24.0,127.28449749057472,-4.858616363100737,60.856196548058506,91.21991832135973,24.0,127.28449749057472,4.858616363100737,60.856196548058506,91.21991832135973
28,37920.0,39850.32773222886,37940.32933679431,38138.14048804266,39155.0125459136,736.0,222.8907964949467,692.9805297648854,519.8899029807544,218.10352788334058,736.0,222.8907964949467,692.9805297648854,519.8899029807544,218.10352788334058
29,39168.0,40119.98637405208,39123.49238505601,38989.96933362458,39434.86670109263,560.0,312.2792570429592,572.0891390164797,539.9448138143744,293.1974902336515,560.0,312.2792570429592,572.0891390164797,539.9448138143744,293.1974902336515
30,39040.0,40474.88624631478,39084.50761482727,39218.03011567141,39741.407526380906,328.0,391.49775137753386,350.2538075881421,417.0157812824691,341.61120160732753,328.0,391.49775137753386,350.2538075881421,417.0157812824691,341.61120160732753
31,39824.0,40902.98187680715,39824.00000023229,39824.000896189515,40118.089104307284,808.0,457.132661766962,785.7461924994022,718.9846428627898,457.3051768327932,808.0,457.132661766962,785.7461924994022,718.9846428627898,457.3051768327932
32,40656.0,41389.151569848706,40655.999999826076,40655.99940139699,40656.01788004649,1032.0,506.5616081596163,1031.999999959753,1031.999820666726,884.9374047609126,1032.0,506.5616081596163,1031.999999959753,1031.999820666726,884.9374047609126
33,41888.0,41916.10509312638,41888.0000001518,41888.00053752297,41887.96391382911,856.0,538.1157062795974,856.0000000239124,856.0000278778498,856.0082093323035,856.0,538.1157062795974,856.0000000239124,856.0000278778498,856.0082093323035
34,42368.0,42465.3829824079,42367.9999998739,42367.99945715269,42368.0342987111,760.0,551.176125405178,759.9999999667561,760.0001494484277,760.0137324478019,760.0,551.176125405178,759.9999999667561,760.0001494484277,760.0137324478019
