angle_deg,image_index,image,method,rmse_from_raw,mae_from_raw,residual_std,derivative_noise_mad,max_abs_derivative,max_abs_derivative_position,major_candidate_position,major_candidate_shift_from_median_gaussian,main_peak_prominence,main_peak_width,significant_peak_count,artificial_peak_suspect_count,assessment
0,0,img134327_  0_  0.tiff,Raw,0.0,0.0,0.0,296.52,936.0,145,145,-914,936.0,1.2071428571428697,5,0,candidate_only_not_PD
0,0,img134327_  0_  0.tiff,Median+Gaussian,402.4387693872721,317.5645656142879,402.408089174948,17.116678982976563,135.2721733254657,1059,1059,0,135.27090986719486,9.383527353556474,6,0,candidate_only_not_PD
0,0,img134327_  0_  0.tiff,Huber MRF lambda=0.1,60.7925982756245,51.08024040161253,60.7925982756245,266.7211721962293,836.1123785599593,145,533,-526,835.6415054892932,1.3192277975609272,8,0,candidate_only_not_PD
0,0,img134327_  0_  0.tiff,Huber MRF lambda=1,246.680154058488,197.00204688786607,246.680154058488,134.13268180651315,595.3617413321408,1057,1057,-2,595.2543036412899,2.8514001111603875,5,0,candidate_only_not_PD
0,0,img134327_  0_  0.tiff,Huber MRF lambda=10,363.3366444265963,291.7027783228488,363.3366444265963,34.37524054856529,239.5404231796747,1057,1057,-2,239.17872630143756,6.920523040189551,7,0,candidate_only_not_PD
6,1,img134334_  1_  6.tiff,Raw,0.0,0.0,0.0,201.6336,872.0,1108,1108,60,872.0,1.1962304664202748,5,0,candidate_only_not_PD
6,1,img134334_  1_  6.tiff,Median+Gaussian,286.66455088791656,221.43452524049175,286.65063752142566,11.192269190890435,79.0170997018322,1048,1048,0,78.7737057090344,8.233855463090435,5,0,candidate_only_not_PD
6,1,img134334_  1_  6.tiff,Huber MRF lambda=0.1,43.47818479373167,36.65633801552475,43.47818479373167,171.18792549374933,795.2938759588396,1108,1108,60,789.6706803284287,1.1688873887317186,6,0,candidate_only_not_PD
6,1,img134334_  1_  6.tiff,Huber MRF lambda=1,178.1826941945254,142.33563674670202,178.1826941945254,87.39854260116728,455.1642848348238,1048,1048,0,454.2973408121288,2.226778339496377,5,0,candidate_only_not_PD
6,1,img134334_  1_  6.tiff,Huber MRF lambda=10,259.59161014586596,205.42417421556928,259.5916101458659,24.53934994519351,156.0618578417525,1049,1049,1,155.9070223747549,5.391068801303618,6,0,candidate_only_not_PD
12,2,img134338_  2_ 12.tiff,Raw,0.0,0.0,0.0,237.21599999999998,912.0,964,964,-95,912.0,1.2071940833706094,2,0,candidate_only_not_PD
12,2,img134338_  2_ 12.tiff,Median+Gaussian,328.23366180315065,255.245652935964,328.2123132916153,15.186806585877937,83.9065980073101,1059,1059,0,83.57700979637593,9.241400591002957,4,0,candidate_only_not_PD
12,2,img134338_  2_ 12.tiff,Huber MRF lambda=0.1,50.22090635620279,42.11413509974537,50.22090635620278,210.72801490761262,821.7574729100452,964,964,-95,820.1188156499047,1.1689129147530366,2,0,candidate_only_not_PD
12,2,img134338_  2_ 12.tiff,Huber MRF lambda=1,205.54170659280976,164.0966804023229,205.54170659280976,99.87089224363339,323.99256710536065,480,480,-579,323.8223500805725,2.179704154867977,2,0,candidate_only_not_PD
12,2,img134338_  2_ 12.tiff,Huber MRF lambda=10,297.0210167998518,235.82748603246065,297.0210167998518,29.41359452743497,139.4495409428564,1048,1048,-11,138.710271601798,6.468082122998112,4,0,candidate_only_not_PD
18,3,img134343_  3_ 18.tiff,Raw,0.0,0.0,0.0,249.0768,1032.0,1054,1054,-5,1032.0,1.2410569105691138,4,0,candidate_only_not_PD
18,3,img134343_  3_ 18.tiff,Median+Gaussian,365.56367721607455,283.2643348034132,365.5621622043281,18.51302529810824,111.38333826900634,1059,1059,0,110.57918932260509,9.832525194028221,5,0,candidate_only_not_PD
18,3,img134343_  3_ 18.tiff,Huber MRF lambda=0.1,54.88464474395347,46.11468017247836,54.88464474395347,214.9832409166037,950.5710235366605,1054,1054,-5,950.57101721449,1.2744312134550455,6,0,candidate_only_not_PD
18,3,img134343_  3_ 18.tiff,Huber MRF lambda=1,228.86295984988482,181.50714727699278,228.86295984988485,108.50510514869555,462.07166844768653,1054,1054,-5,458.7987209232888,1.6707446838357782,8,0,candidate_only_not_PD
18,3,img134343_  3_ 18.tiff,Huber MRF lambda=10,331.7553395326901,262.0970306232834,331.75533953269,30.570732187126087,182.11452745350107,1060,1060,1,181.98903506686838,5.573732187518317,7,0,candidate_only_not_PD
24,4,img134348_  4_ 24.tiff,Raw,0.0,0.0,0.0,213.49439999999998,720.0,862,862,-196,720.0,1.5535714285714448,6,0,candidate_only_not_PD
24,4,img134348_  4_ 24.tiff,Median+Gaussian,290.7209665816511,226.0150347391377,290.7208444838948,10.900406954441337,52.761511212669575,1058,1058,0,52.59077406066717,8.572472888969628,3,0,candidate_only_not_PD
24,4,img134348_  4_ 24.tiff,Huber MRF lambda=0.1,44.42581216299721,37.08155984867207,44.42581216299721,183.5059774332923,652.9204757264088,1082,1082,24,652.8769145768892,1.356689592587827,7,0,candidate_only_not_PD
24,4,img134348_  4_ 24.tiff,Huber MRF lambda=1,183.46880300440273,144.73620912815795,183.46880300440273,87.51206433366768,342.02148020274035,1082,1082,24,341.4927310712119,1.855515797871476,4,0,candidate_only_not_PD
24,4,img134348_  4_ 24.tiff,Huber MRF lambda=10,264.92675614282115,209.61040993254497,264.92675614282115,24.63898910222888,99.24891912402018,1082,1082,24,98.17513162694377,2.928353753521378,4,0,candidate_only_not_PD
30,5,img134353_  5_ 30.tiff,Raw,0.0,0.0,0.0,225.3552,672.0,750,750,-33,672.0,1.5602836879431834,1,0,candidate_only_not_PD
30,5,img134353_  5_ 30.tiff,Median+Gaussian,296.53122847322265,232.9029751443783,296.51021196043337,13.739434046434052,48.80746791987622,783,783,0,48.78872380026951,11.168639477910347,3,0,candidate_only_not_PD
30,5,img134353_  5_ 30.tiff,Huber MRF lambda=0.1,45.12475148716358,37.97998274254989,45.12475148716358,196.06612856266014,626.0930280446955,750,750,-33,625.9556769853552,1.6425762190584692,4,0,candidate_only_not_PD
30,5,img134353_  5_ 30.tiff,Huber MRF lambda=1,187.6696587083777,150.01590250002764,187.6696587083777,92.4582422230734,333.78763911285205,750,750,-33,333.6708914611045,1.8222967010893854,5,0,candidate_only_not_PD
30,5,img134353_  5_ 30.tiff,Huber MRF lambda=10,271.6778907995539,217.90374462421386,271.6778907995539,24.40437951790817,102.53126585692735,1047,1047,264,102.51040754869973,4.896768657567463,2,0,candidate_only_not_PD
36,6,img134357_  6_ 36.tiff,Raw,0.0,0.0,0.0,225.3552,800.0,1200,,,,,0,0,undetectable
36,6,img134357_  6_ 36.tiff,Median+Gaussian,312.7519297123501,248.4880282011097,312.72359506606034,14.654082113507688,69.55657180197886,1059,1059,0,69.47548440309401,9.648813785127004,4,0,candidate_only_not_PD
36,6,img134357_  6_ 36.tiff,Huber MRF lambda=0.1,47.80762289929842,40.53670646968588,47.80762289929842,199.39018632727027,696.9362645615183,1200,,,,,0,0,undetectable
