distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
0,42000.0,41616.570653901676,41966.1590518807,41818.30474471847,41754.067841311204,-656.0,3.4233431967222714,-558.9847704991334,-181.69525528152008,-24.59321586888109
1,41344.0,41619.9939970984,41407.174281381565,41636.60948943695,41729.47462544232,-152.0,5.039527539218398,-132.82571893822023,-35.39051056304743,-5.319484596766415
2,41696.0,41626.64970898011,41700.50761400426,41747.52372359238,41743.42887211767,472.0,8.092322676155163,406.5719119273854,136.67609595161048,16.32569028123544
3,42288.0,41636.17864245071,42220.318105236336,41909.96168134017,41762.12600600479,-56.0,10.712809665117675,-49.41880810181465,-26.581201582113863,-7.596565812636982
4,41584.0,41648.07532831035,41601.66999780063,41694.36132042815,41728.2357404924,-448.0,12.772499478942336,-390.17880220040024,-160.41970069794843,-26.67847848778183
5,41392.0,41661.72364140859,41439.960500835536,41589.12227994428,41708.76904902923,112.0,14.192241957651277,78.09300721258478,-6.677900511738699,-3.6282390117012255
6,41808.0,41676.45981222565,41757.8560122258,41681.00551940467,41720.979262468994,80.0,14.953719417419052,67.17557251927428,28.38599916273961,7.859176563211804
7,41552.0,41691.63108024343,41574.311645874084,41645.894278269756,41724.48740215565,-112.0,15.09434174105263,-71.98613698129702,11.835897999953886,12.13250979444274
8,41584.0,41706.648495707756,41613.883738263205,41704.67731540458,41745.24428205788,224.0,14.702792908690753,201.09770366199518,119.12169483711841,28.81909400512086
9,42000.0,41721.03666606081,41976.507053198075,41884.13766794399,41782.125590165895,264.0,13.907254942085274,233.05166096839457,121.52918651140862,25.98758761630961
10,42112.0,41734.463005591926,42079.987060199994,41947.7356884274,41797.2194572905,-72.0,12.845170405795216,-56.58469199810497,-18.534135302892537,-0.6451600108703133
11,41856.0,41746.7270068724,41863.337669201865,41847.06939733821,41780.835270144154,-200.0,11.637034064340696,-179.9610449888023,-105.13159242008987,-20.142423639135814
12,41712.0,41757.73707372061,41720.06497022239,41737.47250358722,41756.93461001223,-88.0,10.367546755409421,-102.94784786753007,-96.86064195738072,-21.653929631320352
13,41680.0,41767.46210038322,41657.441973466804,41653.348113423446,41737.527410881514,-192.0,9.074581291552022,-175.4131294215549,-97.45033345205229,-16.530828586634016
14,41328.0,41775.88623630371,41369.23871137928,41542.57183668311,41723.87295283896,-104.0,7.7562036310300755,-82.00970519115072,-3.490358398772514,6.139189599391102
15,41472.0,41782.97450764528,41493.4225630845,41646.3673966259,41749.805790080296,432.0,6.400878936638037,387.1686887374308,190.9792582557384,39.823126745355694
16,42192.0,41788.68799417699,42143.57608885414,41924.53035319459,41803.51920632967,264.0,5.019286333415948,252.16194843066478,144.42813316598404,34.28937656585549
17,42000.0,41793.013080312114,41997.74645994583,41935.22366295787,41818.38454321201,-200.0,3.6577884606631414,-157.09732917915608,-21.694858757786278,5.784564042936836
18,41792.0,41796.003571098314,41829.38143049583,41881.14063567902,41815.088334415545,40.0,2.415428797587083,18.542123029124923,-9.512709439346509,-2.1417920756866806
19,42080.0,41797.84393790729,42034.83070600408,41916.198244079176,41814.10095906063,0.0,1.4325545213760051,-20.397194471330295,-46.84326956024597,-14.28232740187741
20,41792.0,41798.868680141066,41788.58704155317,41787.454096558526,41786.52367961179,-312.0,0.8509740812332893,-263.3084566850848,-131.01709924139504,-27.851095468256972
21,41456.0,41799.545886069754,41508.21379263391,41654.164045596386,41758.39876812412,-8.0,0.7852334744493419,-19.304285749683913,-34.2080281639428,-13.004973081460776
22,41776.0,41800.439147089965,41749.9784700538,41719.03804023064,41760.51373344887,136.0,1.2924714749133273,111.6570276888815,36.39301474957756,1.3406519971904345
