angle_deg,image_index,image,method,rmse_from_raw,mae_from_raw,residual_std,derivative_noise_mad,max_abs_derivative,max_abs_derivative_position,major_candidate_position,major_candidate_shift_from_median_gaussian,main_peak_prominence,main_peak_width,significant_peak_count,artificial_peak_suspect_count,assessment
0,0,img114142_  0_  0.tiff,Raw,0.0,0.0,0.0,272.79839999999996,2040.0,507,507,1,2040.0,4.500263898662922,7,0,candidate_only_not_PD
0,0,img114142_  0_  0.tiff,Median+Gaussian,537.3978332038097,349.164395999632,537.2981297114864,14.993626786293415,379.2844431277299,506,506,0,379.25937585016436,8.268521476306375,10,0,candidate_only_not_PD
0,0,img114142_  0_  0.tiff,Huber MRF lambda=0.1,48.65459744324867,40.26010632666565,48.65459744324867,238.78931386895067,2040.0000003237292,507,507,1,2039.9999998844723,4.438194609439051,8,0,candidate_only_not_PD
0,0,img114142_  0_  0.tiff,Huber MRF lambda=1,209.85552052175683,166.76247290950272,209.85552052175683,112.81484708960447,2040.0000014932812,507,507,1,2039.84076541186,3.9403175135756214,11,0,candidate_only_not_PD
0,0,img114142_  0_  0.tiff,Huber MRF lambda=10,389.90998064611426,287.85260561571414,389.90998064611426,29.66121873322834,1504.3413247589124,507,507,1,1504.315442244555,2.718934085361468,10,0,candidate_only_not_PD
6,1,img114149_  1_  6.tiff,Raw,0.0,0.0,0.0,189.7728,1120.0,900,900,394,1120.0,4.1299999999999955,7,0,candidate_only_not_PD
6,1,img114149_  1_  6.tiff,Median+Gaussian,341.3149406489175,240.00706326916787,341.3132348030864,10.946494282878234,216.47123490275044,506,506,0,216.43192126764916,8.47973677782312,7,0,candidate_only_not_PD
6,1,img114149_  1_  6.tiff,Huber MRF lambda=0.1,35.32441011691307,29.16434675291297,35.32441011691307,165.94912765885067,1120.000000612792,900,900,394,1119.4179316580994,4.088302971263261,10,0,candidate_only_not_PD
6,1,img114149_  1_  6.tiff,Huber MRF lambda=1,152.43285312296635,120.1237830151908,152.43285312296635,84.43193028976823,1120.0003114799038,900,900,394,1119.6034326772897,3.6216688080993436,11,0,candidate_only_not_PD
6,1,img114149_  1_  6.tiff,Huber MRF lambda=10,273.7799231003105,206.17686531217515,273.7799231003105,22.52862775852572,594.5107914125547,506,506,0,594.4666696714448,3.492880938244184,8,0,candidate_only_not_PD
12,2,img114154_  2_ 12.tiff,Raw,0.0,0.0,0.0,225.3552,1440.0,511,511,5,1440.0,1.8632478632478637,8,0,candidate_only_not_PD
12,2,img114154_  2_ 12.tiff,Median+Gaussian,428.9306463312572,289.1930108085549,428.9079787938485,12.391021358625192,260.21390872074335,506,506,0,260.10523566909615,7.974527238631708,8,0,candidate_only_not_PD
12,2,img114154_  2_ 12.tiff,Huber MRF lambda=0.1,41.45819492377448,34.056210487684694,41.45819492377448,201.71292467822516,1380.4703888767617,511,511,5,1379.7118563026343,1.943029322622806,9,0,candidate_only_not_PD
12,2,img114154_  2_ 12.tiff,Huber MRF lambda=1,175.74927105476843,138.28128323515213,175.74927105476843,98.80838624203292,1343.9999612119282,506,506,0,1343.378325025471,4.166461198057391,8,0,candidate_only_not_PD
12,2,img114154_  2_ 12.tiff,Huber MRF lambda=10,325.088927201198,240.5658204125099,325.088927201198,26.070733877032083,876.7942366309653,506,506,0,876.7755362720454,2.760790103011175,7,0,candidate_only_not_PD
18,3,img114159_  3_ 18.tiff,Raw,0.0,0.0,0.0,296.52,1968.0,506,506,0,1968.0,3.2451127819549015,6,0,candidate_only_not_PD
18,3,img114159_  3_ 18.tiff,Median+Gaussian,536.1460022551053,356.4383596549915,536.1310060991706,14.938636153648096,330.9678719469375,506,506,0,330.9318331402137,8.12117991021313,9,0,candidate_only_not_PD
18,3,img114159_  3_ 18.tiff,Huber MRF lambda=0.1,48.705612230163034,40.06971366466265,48.705612230163034,258.0710319271221,1958.9311304633447,506,506,0,1957.8147460133005,3.2647290887389886,7,0,candidate_only_not_PD
18,3,img114159_  3_ 18.tiff,Huber MRF lambda=1,212.36286181992668,168.06318574186656,212.36286181992668,122.57800441829576,1907.402355792572,506,506,0,1907.2283796545416,3.231458987147562,8,0,candidate_only_not_PD
18,3,img114159_  3_ 18.tiff,Huber MRF lambda=10,392.53404251774657,294.0840017781839,392.53404251774657,32.71316484720474,1192.1600166384633,506,506,0,1192.0468484861158,2.8764700257324876,9,0,candidate_only_not_PD
24,4,img114204_  4_ 24.tiff,Raw,0.0,0.0,0.0,154.19039999999998,864.0,506,506,0,864.0,2.1700549450549715,4,0,candidate_only_not_PD
24,4,img114204_  4_ 24.tiff,Median+Gaussian,241.43988165886805,174.88132453385046,241.4202680935747,7.894537161564777,124.45182201504213,506,506,0,124.43424898741432,8.212512536706924,7,0,candidate_only_not_PD
24,4,img114204_  4_ 24.tiff,Huber MRF lambda=0.1,28.565367183528465,23.932859886743767,28.565367183528465,134.09486131164851,846.4254240887312,506,506,0,845.5745767926346,2.223715179762337,5,0,candidate_only_not_PD
24,4,img114204_  4_ 24.tiff,Huber MRF lambda=1,115.97343446445596,93.21837921318568,115.97343446445596,64.29256544185999,772.9747010284082,506,506,0,772.9264098275889,2.419786267753011,9,0,candidate_only_not_PD
24,4,img114204_  4_ 24.tiff,Huber MRF lambda=10,197.97148593251637,152.14469727349316,197.97148593251637,16.32739485359722,266.64696784756234,506,506,0,266.62497682769754,5.542079372147214,10,0,candidate_only_not_PD
30,5,img114208_  5_ 30.tiff,Raw,0.0,0.0,0.0,154.19039999999998,1040.0,506,506,0,1040.0,2.09803023362349,8,0,candidate_only_not_PD
30,5,img114208_  5_ 30.tiff,Median+Gaussian,274.06032691296423,190.03271121456524,274.0554280883894,8.950216941834462,141.6307076331359,506,506,0,141.61714112175105,8.108277953021002,7,0,candidate_only_not_PD
30,5,img114208_  5_ 30.tiff,Huber MRF lambda=0.1,30.777553864009484,25.361118928010807,30.777553864009484,135.5492956511263,1017.1213065692536,506,506,0,1016.9762539452349,2.1825420465790444,9,0,candidate_only_not_PD
30,5,img114208_  5_ 30.tiff,Huber MRF lambda=1,125.09169079057577,98.66158558180477,125.09169079057575,66.96870041087087,914.6313486650433,506,506,0,914.2977698146424,2.492277904797845,7,0,candidate_only_not_PD
30,5,img114208_  5_ 30.tiff,Huber MRF lambda=10,215.11598617869504,162.833532447834,215.11598617869504,17.281704829171915,305.47181712443125,506,506,0,305.46261265827707,5.418401535217868,7,0,candidate_only_not_PD
36,6,img114213_  6_ 36.tiff,Raw,0.0,0.0,0.0,213.49439999999998,1064.0,506,506,0,1064.0,5.175925925925924,6,0,candidate_only_not_PD
36,6,img114213_  6_ 36.tiff,Median+Gaussian,369.92248601384426,255.06126985340697,369.9215034206572,9.996401528201966,200.9407418850933,506,506,0,200.8636572295909,8.225161206647158,8,0,candidate_only_not_PD
36,6,img114213_  6_ 36.tiff,Huber MRF lambda=0.1,37.73818262606497,31.03460525922823,37.73818262606497,181.91110303695518,1063.9999984559436,506,506,0,1063.70494438495,5.14326932840595,11,0,candidate_only_not_PD
36,6,img114213_  6_ 36.tiff,Huber MRF lambda=1,158.61495422680738,125.98274268263562,158.61495422680738,88.97065165531438,1020.4257375370471,506,506,0,1020.3689145975986,4.712856417642627,8,0,candidate_only_not_PD
36,6,img114213_  6_ 36.tiff,Huber MRF lambda=10,284.42230371454013,215.01233903153482,284.42230371454013,23.151094658917458,557.6012592116276,506,506,0,557.5774018311567,4.14073946949901,10,0,candidate_only_not_PD
42,7,img114218_  7_ 42.tiff,Raw,0.0,0.0,0.0,154.19039999999998,1112.0,901,901,395,1112.0,1.929463260620082,5,0,candidate_only_not_PD
42,7,img114218_  7_ 42.tiff,Median+Gaussian,266.5675463432677,187.0769899741312,266.56684192125715,8.247971403028915,149.99993501259087,506,506,0,149.99117051370922,8.21523196533451,7,0,candidate_only_not_PD
42,7,img114218_  7_ 42.tiff,Huber MRF lambda=0.1,27.73767664251884,23.03347086737058,27.73767664251884,131.17472866402457,1078.5209665961047,901,901,395,1077.2071703574002,2.008606273089754,10,0,candidate_only_not_PD
42,7,img114218_  7_ 42.tiff,Huber MRF lambda=1,121.43311886667558,96.08559896455147,121.43311886667558,65.97857016626742,953.8682687456385,901,901,395,953.3783256509923,2.2623301741388104,12,0,candidate_only_not_PD
42,7,img114218_  7_ 42.tiff,Huber MRF lambda=10,212.0122874772728,160.27703208303504,212.0122874772728,17.955303268483828,461.5370554811634,506,506,0,461.46689297417834,2.73970540893049,7,0,candidate_only_not_PD
48,8,img114223_  8_ 48.tiff,Raw,0.0,0.0,0.0,177.91199999999998,960.0,506,506,0,960.0,3.7372967479674344,6,0,candidate_only_not_PD
48,8,img114223_  8_ 48.tiff,Median+Gaussian,306.6245808770015,212.6689399158076,306.60425622450094,9.15111973031198,172.3710797178319,506,506,0,172.3450054929708,7.9228891880844685,8,0,candidate_only_not_PD
48,8,img114223_  8_ 48.tiff,Huber MRF lambda=0.1,33.67746986881144,27.915901637551453,33.67746986881144,152.83040706848993,951.2843381158746,506,506,0,951.2196501203289,3.7644682450847426,7,0,candidate_only_not_PD
48,8,img114223_  8_ 48.tiff,Huber MRF lambda=1,136.3342171274219,109.48470162874237,136.3342171274219,75.217799660072,890.667590196008,506,506,0,890.556303731104,3.8117805444020973,8,0,candidate_only_not_PD
48,8,img114223_  8_ 48.tiff,Huber MRF lambda=10,239.3014319368476,180.77138860234953,239.30143193684756,19.6199197241009,445.4791611413784,506,506,0,445.304124311544,4.049004064650262,9,0,candidate_only_not_PD
54,9,img114227_  9_ 54.tiff,Raw,0.0,0.0,0.0,154.19039999999998,816.0,507,507,1,816.0,4.6053571428571445,5,0,candidate_only_not_PD
54,9,img114227_  9_ 54.tiff,Median+Gaussian,261.6469681058035,185.5230052315,261.6406948749279,9.084178861177026,164.9079351398832,506,506,0,164.88609095868742,7.98158512804082,7,0,candidate_only_not_PD
54,9,img114227_  9_ 54.tiff,Huber MRF lambda=0.1,28.173320415732032,23.156527489771427,28.173320415732032,140.90988074953233,815.9999995068756,507,507,1,815.844637140457,4.555363444863644,6,0,candidate_only_not_PD
54,9,img114227_  9_ 54.tiff,Huber MRF lambda=1,121.08015441757374,95.7763840867862,121.08015441757372,68.17510994680364,790.5140303454209,507,507,1,790.2143696095263,4.277158211507071,9,0,candidate_only_not_PD
54,9,img114227_  9_ 54.tiff,Huber MRF lambda=10,209.0734674563109,159.40911985398847,209.0734674563109,17.55263292306334,431.0671675701851,507,507,1,431.00484057223,4.052120147669427,9,0,candidate_only_not_PD
60,10,img114232_ 10_ 60.tiff,Raw,0.0,0.0,0.0,106.74719999999999,472.0,506,506,0,472.0,3.150383141762461,6,0,candidate_only_not_PD
60,10,img114232_ 10_ 60.tiff,Median+Gaussian,157.54047679307078,118.12356009133012,157.52476642367466,5.247960386301409,84.04110696785938,506,506,0,84.0243217512616,8.308163332821948,6,0,candidate_only_not_PD
60,10,img114232_ 10_ 60.tiff,Huber MRF lambda=0.1,19.417836670967684,16.002793881950392,19.41783667096768,97.97836139037572,471.9999982970039,506,506,0,471.5706642961777,3.0833690047513755,6,0,candidate_only_not_PD
60,10,img114232_ 10_ 60.tiff,Huber MRF lambda=1,84.08163165873286,66.83478427167726,84.08163165873286,46.3578902379636,462.35161088450695,506,506,0,462.32409443604047,2.692347851774059,8,0,candidate_only_not_PD
60,10,img114232_ 10_ 60.tiff,Huber MRF lambda=10,136.03963105526105,106.28893340864397,136.03963105526105,11.344123191751613,163.14875421440593,506,506,0,163.14524079509647,5.411599363427797,7,0,candidate_only_not_PD
66,11,img114237_ 11_ 66.tiff,Raw,0.0,0.0,0.0,130.4688,728.0,506,506,0,728.0,2.435688405797123,4,0,candidate_only_not_PD
66,11,img114237_ 11_ 66.tiff,Median+Gaussian,216.4593561893781,155.01630739916232,216.4495065377586,7.545649476986229,107.26766357443557,506,506,0,107.23520055489644,7.891986730008682,6,0,candidate_only_not_PD
66,11,img114237_ 11_ 66.tiff,Huber MRF lambda=0.1,24.56687434393659,20.39157639703162,24.566874343936593,116.6732827377906,718.4894259202156,506,506,0,718.1767078804114,2.4795671647872837,6,0,candidate_only_not_PD
66,11,img114237_ 11_ 66.tiff,Huber MRF lambda=1,106.37963610407324,84.04557724748473,106.37963610407324,56.695378879042885,666.7500896345882,506,506,0,666.6392371868533,2.634220968101374,9,0,candidate_only_not_PD
66,11,img114237_ 11_ 66.tiff,Huber MRF lambda=10,179.5690279928169,136.7561482627327,179.5690279928169,15.40896964684507,223.7777288371799,506,506,0,223.69529424559005,5.642166513652455,7,0,candidate_only_not_PD
72,12,img114241_ 12_ 72.tiff,Raw,0.0,0.0,0.0,225.3552,1736.0,507,507,1,1736.0,3.1466963210082213,8,0,candidate_only_not_PD
72,12,img114241_ 12_ 72.tiff,Median+Gaussian,426.24812794815034,282.211677551044,426.1593442839329,10.07003139435762,271.16158276564965,506,506,0,271.1150510202351,8.09141417740517,9,0,candidate_only_not_PD
72,12,img114241_ 12_ 72.tiff,Huber MRF lambda=0.1,39.81645340798419,32.637269285051346,39.81645340798419,202.14776954750124,1735.999999955915,507,507,1,1735.4309583358627,3.132471967299068,11,0,candidate_only_not_PD
72,12,img114241_ 12_ 72.tiff,Huber MRF lambda=1,173.62516986068397,136.58294416600415,173.62516986068397,100.81689839222962,1728.5373700346681,507,507,1,1728.1193608766916,2.95326836338819,10,0,candidate_only_not_PD
72,12,img114241_ 12_ 72.tiff,Huber MRF lambda=10,316.83649413908444,234.5514486006989,316.83649413908444,23.457109079341848,1059.1076158857213,507,507,1,1059.0456497948362,2.458674353751462,11,0,candidate_only_not_PD
78,13,img114246_ 13_ 78.tiff,Raw,0.0,0.0,0.0,201.6336,1184.0,507,507,-55,1184.0,3.0680887739711125,7,0,candidate_only_not_PD
78,13,img114246_ 13_ 78.tiff,Median+Gaussian,341.58425301694103,239.87152743979513,341.5515111353101,10.672248820337515,208.20136633049697,562,562,0,208.18082278717338,9.897002550090065,8,0,candidate_only_not_PD
