distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10
0,32848.0,33353.27211628188,32851.73547484337,32869.167825335426,33171.71979182904,48.0,45.72930822761555,37.35474843373959,21.167825335418456,32.371979182906216
1,32896.0,33399.00142450949,32889.09022327711,32890.335650670844,33204.09177101195,0.0,67.95923507537009,2.805864819274575,18.33565067084419,47.776567733501
2,32848.0,33489.19058643262,32857.34720448192,32905.839126677114,33267.27292729604,8.0,111.11391326183002,14.993003614406916,44.42303934483061,84.1448026488979
3,32912.0,33621.22925103315,32919.076230505925,32979.181729360505,33372.38137630974,96.0,150.94429016615686,97.11017855363389,106.93346736363674,128.12751782919077
4,33040.0,33791.07916676493,33051.56756158919,33119.70606140439,33523.527962954424,200.0,186.00302805722822,196.46188523851743,180.37736274608324,175.32298479240126
5,33312.0,33993.23530714761,33312.00000098296,33339.93645485267,33723.027345894545,424.0,214.8639959924658,418.21621893744305,384.1471888506203,220.05075023484824
6,33888.0,34220.80715874986,33887.999999464075,33888.00043910563,33963.62946342412,464.0,236.26807646219459,463.99999968475095,450.0314778746215,258.50499510232476
7,34240.0,34465.771460072,34240.00000035246,34239.999410601915,34240.037336099194,376.0,249.3018519922589,376.0000002151137,375.999937741286,338.17389610110695
8,34640.0,34719.41086273438,34639.9999998943,34640.0003145882,34639.977255626334,576.0,253.57045349830514,575.999999800104,576.0002544861709,540.6486006762134
9,35392.0,34972.91236706861,35391.99999995267,35391.99991957426,35321.33453745162,616.0,249.3010609831872,616.0000001323351,609.6402048710042,461.228629307494
10,35872.0,35218.012984700756,35872.00000015897,35859.28072433021,35562.43451424132,376.0,237.347687344125,375.529413065884,351.3642306285583,225.6217025017686
11,36144.0,35447.60774175686,36143.05882608444,36094.72838083137,35772.57794245516,264.0,219.1074615273028,254.90702089970728,210.81184691685485,191.57232533659044
12,36400.0,35656.22790775536,36381.81404195839,36280.90441816392,35945.5791649145,160.0,196.34766821578523,147.82542566588745,126.62824641450061,150.2801807050746
13,36464.0,35840.30307818843,36438.70967741621,36347.984873660374,36073.13830386531,-88.0,170.99288544968658,-69.55597746112835,9.07289232664698,108.01605414406731
14,36224.0,35998.213678654734,36242.70208703613,36299.05020281721,36161.61127320264,-128.0,144.90285713079356,-102.49715519944584,-11.409569434559671,85.35353299745839
15,36208.0,36130.10879245002,36233.71536701732,36325.165734791255,36243.845369860224,152.0,119.66807709810018,135.72451084766362,84.69839936967765,84.02636515060294
16,36528.0,36237.549832850935,36514.15110873146,36468.44700155657,36329.66400350384,216.0,96.49013448381447,195.05688959153122,113.50476754358897,75.90183381880706
17,36640.0,36323.089061417646,36623.82914620038,36552.17526987843,36395.64903749784,24.0,76.12437496645362,28.82376847084379,39.81590326108926,53.76748586889153
18,36576.0,36389.79858278384,36571.798645673145,36548.078808078746,36437.19897524163,-88.0,58.88798301470524,-73.03727216152402,-18.057057760321186,34.6098865058666
19,36464.0,36440.86502744706,36477.754601877336,36516.06115435779,36464.86881050957,-32.0,44.72794140631231,-25.27103440911742,-5.987076542056457,27.713275793423236
20,36512.0,36479.25446559647,36521.25657685491,36536.10465499463,36492.62552682847,112.0,33.31584057265718,89.78485925212954,32.095828134155454,26.78799266032729
21,36688.0,36507.49670859237,36657.324320381595,36580.2528106261,36518.444795830226,-16.0,24.17160787931425,-17.310654565324512,-9.725439055473544,17.34150879326262
22,36480.0,36527.597681355095,36486.63526772426,36516.653776883686,36527.308544415,-168.0,16.781159873680735,-137.5127140360346,-45.27214530057972,11.229175805525301
23,36352.0,36541.05902833973,36382.298892309525,36489.70852002494,36540.90314744128,48.0,10.694098823485547,47.15808613290574,41.90900315373074,23.03976039834015
24,36576.0,36548.985879002066,36580.95143999007,36600.47178319115,36573.38806521168,280.0,5.59293904707738,241.54196311390115,122.99915476177921,32.354321030983556
25,36912.0,36552.24490643389,36865.38281853733,36735.7068295485,36605.611789503244,16.0,1.3274822425591992,33.21325575089577,47.08846113160325,16.904313766728592
26,36608.0,36551.640843487185,36647.377951491864,36694.648705454354,36607.196692745136,-32.0,-2.098440134021075,-21.11510958614599,2.2662286330269126,1.5447378791504889
27,36848.0,36548.048026165845,36823.152599365036,36740.239286814554,36608.701265261545,80.0,-4.571856930047943,51.53764469836824,-8.289775232522516,-10.460364220514748
28,36768.0,36542.49712962709,36750.4532408886,36678.06915498931,36586.275964304106,-192.0,-5.945200062335061,-171.48981458954222,-107.13555433058718,-31.51150274223255
29,36464.0,36536.157626041175,36480.17297018595,36525.96817815338,36545.67825977708,-192.0,-6.1160400769877015,-178.35875921677507,-121.11688775924267,-36.51379153817106
30,36384.0,36530.26504947311,36393.73572245505,36435.835379470824,36513.248381227764,-24.0,-5.074254924424167,-37.75863545563698,-64.21510894714083,-25.9674594879325
31,36416.0,36526.00911619233,36404.65569927468,36397.5379602591,36493.743340801215,-40.0,-2.942024803316599,-45.801526807008486,-47.52843908217619,-15.617873386483552
32,36304.0,36524.38099986648,36302.13266884103,36340.77850130647,36482.0126344548,-136.0,0.026353271186962957,-111.85968622846485,-38.37020829939138,-2.830074623678229
33,36144.0,36526.0618227347,36180.93632681775,36320.797543660316,36488.08319155386,72.0,3.4864825620607007,72.93366807754501,68.41781418399842,23.274716676751268
34,36448.0,36531.3539649906,36448.00000499612,36477.61412967447,36528.5620678083,312.0,7.0547979026596295,289.12348787648807,171.62365085139027,44.506979644855164
35,36768.0,36540.17141854002,36759.183302570724,36664.044845363096,36577.09715084357,256.0,10.374323450523661,235.59164969858466,134.45313837017238,38.98994057745222
36,36960.0,36552.10261189165,36919.18330439329,36746.52040641481,36606.541948963204,-128.0,13.156375863989524,-110.54597104706045,-24.264235740876757,11.771895567791944
37,36512.0,36566.484170268,36538.0913604766,36615.51637388134,36600.64094197915,-208.0,15.206378316303017,-184.1726466975706,-79.24584559279538,-1.4689598850927723
38,36544.0,36582.515368524255,36550.83801099815,36588.02871522922,36603.60402919302,72.0,16.428570613894408,46.936705512311164,-5.473301037513011,5.943288673515781
39,36656.0,36599.34131149579,36631.964771501225,36604.56977180632,36612.527519326184,-56.0,16.81492693519249,-39.0493819908188,-9.174057519747294,6.749866099478822
40,36432.0,36616.14522239464,36472.739247016514,36569.68060018973,36617.103761391976,56.0,16.429139497020515,54.62243359056083,33.95112847827477,13.831430135385745
41,36768.0,36632.19959048983,36741.20963868235,36672.472028762866,36640.190379596956,152.0,15.372431180145213,124.36686208487299,55.0274429545716,16.69613718483015
